nama	hospital	address	keyword	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	keyword8	keyword9	keyword10	keyword11	keyword12
Banyuwangi	RS Al-Rohmah Banyuwangi	Jl. A. Yani No. 37 Jajag Gambiran, Banyuwangi	RS Al-Rohmah Banyuwangi Banyuwangi	RS	Al-Rohmah	Banyuwangi	Banyuwangi								
Pandeglang	RS Alinda Husada	Jl. Raya Tanjung Lesung KM. 1 Panimbang	RS Alinda Husada Pandeglang	RS	Alinda	Husada	Pandeglang								
Kota Kendari	RS Aliyah	Jln.Bunggasi Rahandouna, Poasia Kendari	RS Aliyah Kota Kendari	RS	Aliyah	Kota	Kendari								
Kota Bontang	RS Amalia Bontang	Jl. R. Soeprapto No. 22 Bontang - Kalimantan Timur	RS Amalia Bontang Kota Bontang	RS	Amalia	Bontang	Kota	Bontang							
Purworejo	RS Amanah Umat Purworejo	Jl. Brigjen Katamso No. 144A Purworejo 54115	RS Amanah Umat Purworejo Purworejo	RS	Amanah	Umat	Purworejo	Purworejo							
Bekasi	RS Amanda Cikarang Selatan	Jl. Raya Serang No. 83 Desa Sukadami Cikarang Selatan Kab. Bekasi	RS Amanda Cikarang Selatan Bekasi	RS	Amanda	Cikarang	Selatan	Bekasi							
Kota Tangerang	RS An-Nisa	Jl. Gatot Subroto No 96 Km 3 Kel. Uwung Jaya Kec. Cibodas Tangerang	RS An-Nisa Kota Tangerang	RS	An-Nisa	Kota	Tangerang								
Kota Jakarta Barat	RS Anak dan Bunda Harapan Kita	Jl. Let.Jend. S Parman Kav. 87 Slipi Jakbar	RS Anak dan Bunda Harapan Kita Kota Jakarta Barat	RS	Anak	dan	Bunda	Harapan	Kita	Kota	Jakarta	Barat			
Bekasi	RS Ananda Babelan	Jl. Raya Babelan KM. 9.6 RT/RW 002/001 Kelurahan Kebalen Kecamatan Babelan	RS Ananda Babelan Bekasi	RS	Ananda	Babelan	Bekasi								
Magetan	RS Angkatan Udara dr. Efram Harsana	Jl. Raya Solo, Kelurahan Maospati, Kecamatan Maospati, Kab. Magetan	RS Angkatan Udara dr. Efram Harsana Magetan	RS	Angkatan	Udara	dr.	Efram	Harsana	Magetan					
Malang	RS Angkatan Udara dr. Mohammad Moenir	Jl. Dr. M. Munir No.18 Lanud Abd. Saleh, Desa Saptorenggo Kec. Pakis Kab, Malang	RS Angkatan Udara dr. Mohammad Moenir Malang	RS	Angkatan	Udara	dr.	Mohammad	Moenir	Malang					
Kota Pontianak	RS Anton Soedjarwo Pontianak	Jl. K. S. Tubun 14 Pontianak	RS Anton Soedjarwo Pontianak Kota Pontianak	RS	Anton	Soedjarwo	Pontianak	Kota	Pontianak						
Kota Pontianak	RS Anugerah Bunda Khatulistiwa	Jl. Ahmad Yani Pontianak Selatan	RS Anugerah Bunda Khatulistiwa Kota Pontianak	RS	Anugerah	Bunda	Khatulistiwa	Kota	Pontianak						
Kota Tangerang	RS Aqidah	Jl. Raden Fatah No.40	RS Aqidah Kota Tangerang	RS	Aqidah	Kota	Tangerang								
Sidoarjo	RS Arafah Anwar Medika Sukodono	Jl. Sawo No. 2 Dungus Sukodono	RS Arafah Anwar Medika Sukodono Sidoarjo	RS	Arafah	Anwar	Medika	Sukodono	Sidoarjo						
Kota Lhokseumawe	RS Arun Lhokseumawe	Jl. Plaju Komplek Perumahan PT Arun Batuphat	RS Arun Lhokseumawe Kota Lhokseumawe	RS	Arun	Lhokseumawe	Kota	Lhokseumawe							
Kota Pekanbaru	RS Awal Bros A. Yani	Jl A. Yani No. 73	RS Awal Bros A. Yani Kota Pekanbaru	RS	Awal	Bros	A.	Yani	Kota	Pekanbaru					
Kota Kendari	RS Bahteramas Provinsi Sultra	Jl. Kapten Piere Tendean No 50 Kec Baruga	RS Bahteramas Provinsi Sultra Kota Kendari	RS	Bahteramas	Provinsi	Sultra	Kota	Kendari						
Kota Pangkal Pinang	RS Bakti Timah Pangkalpinang	Jl. Bukit Baru No.1, Kel.Taman Bunga Kec.Gerunggang Pangkal Pinang	RS Bakti Timah Pangkalpinang Kota Pangkal Pinang	RS	Bakti	Timah	Pangkalpinang	Kota	Pangkal	Pinang					
Malang	RS Bala Keselamatan Bokor	Jl. A.Yani 91 Turen , Kab.Malang	RS Bala Keselamatan Bokor Malang	RS	Bala	Keselamatan	Bokor	Malang							
Badung	RS Bali Jimbaran	Jl. Kampus Unud No. 52	RS Bali Jimbaran Badung	RS	Bali	Jimbaran	Badung								
Buleleng	RS Balimed Buleleng	Jl. Gunung Lempuyang, Singaraja, Banjar Tegal	RS Balimed Buleleng Buleleng	RS	Balimed	Buleleng	Buleleng								
Kota Binjai	RS Bangkatan PTPN II	Jl. Hasanuddin No.40 Binjai	RS Bangkatan PTPN II Kota Binjai	RS	Bangkatan	PTPN	II	Kota	Binjai						
Kota Batu	RS Baptis Batu	Jln. Raya Panglima Sudirman No. 33 Desa Tlekung Kec. Junrejo Kota Batu	RS Baptis Batu Kota Batu	RS	Baptis	Batu	Kota	Batu							
Kota Kediri	RS Baptis Kediri	Jl. Brigjen Pol IBH Pranoto No. 1-7 Kota Kediri	RS Baptis Kediri Kota Kediri	RS	Baptis	Kediri	Kota	Kediri							
Bantul	RS Bedah Adelia	JL Monumen TNI AU No 1 Tamanan Banguntapan Bantul	RS Bedah Adelia Bantul	RS	Bedah	Adelia	Bantul								
Malang	RS Bedah Hasta Husada	Jl. Bromo 98-100 RT 011 RW 005, Kel. Kepanjen, Kec. Kepanjen, Kab. Malang	RS Bedah Hasta Husada Malang	RS	Bedah	Hasta	Husada	Malang							
Lamongan	RS Bedah Mitra Sehat	Jl. Raya Lamongan - Babat KM 5 Desa Karanglangit, Kec, Lamongan, Kab. Lamongan	RS Bedah Mitra Sehat Lamongan	RS	Bedah	Mitra	Sehat	Lamongan							
Kolaka	RS Benyamin Guluh Kolaka	Jl. DR.Sutomo No. 01 Kolaka	RS Benyamin Guluh Kolaka Kolaka	RS	Benyamin	Guluh	Kolaka	Kolaka							
Kota Yogyakarta	RS Bethesda Lempuyangwangi	Jl Hayam Wuruk No.6 Yogyakarta	RS Bethesda Lempuyangwangi Kota Yogyakarta	RS	Bethesda	Lempuyangwangi	Kota	Yogyakarta							
Gunung Kidul	RS Bethesda Wonosari	Jl. Wonosari Karangmojo Selang III Selang Wonosari Gunung Kidul	RS Bethesda Wonosari Gunung Kidul	RS	Bethesda	Wonosari	Gunung	Kidul							
Kota Yogyakarta	RS Bethesda Yogyakarta	Jl Jend. Sudirman No. 70 Kotabaru Yogyakarta	RS Bethesda Yogyakarta Kota Yogyakarta	RS	Bethesda	Yogyakarta	Kota	Yogyakarta							
Tangerang	RS Bethsaida	District Tivolli No.1 Paramount Serpong, Gading Serpong	RS Bethsaida Tangerang	RS	Bethsaida	Tangerang									
Kota Kupang	RS Bhayangkara	Jl. Nangka No. 84 Kupang	RS Bhayangkara Kota Kupang	RS	Bhayangkara	Kota	Kupang								
Kota Balikpapan	RS Bhayangkara Balikpapan	Jl. Jend Sudirman No. 14 Kel Prapatan	RS Bhayangkara Balikpapan Kota Balikpapan	RS	Bhayangkara	Balikpapan	Kota	Balikpapan							
Kota Denpasar	RS Bhayangkara Denpasar	Jl. Trijata no.32 Denpasar	RS Bhayangkara Denpasar Kota Denpasar	RS	Bhayangkara	Denpasar	Kota	Denpasar							
Kota Dumai	RS Bhayangkara Dumai	Jl Hang Tuah No.1 Dumai	RS Bhayangkara Dumai Kota Dumai	RS	Bhayangkara	Dumai	Kota	Dumai							
Kota Batu	RS Bhayangkara Hasta Brata Batu	Jl Kartini No 1 Kel. Ngaglik Kec. Batu, Kota Batu	RS Bhayangkara Hasta Brata Batu Kota Batu	RS	Bhayangkara	Hasta	Brata	Batu	Kota	Batu					
Kota Bengkulu	RS Bhayangkara Jitra Kota Bengkulu	Jl. Veteran No.2 Kelurahan Jitra Kota Bengkulu	RS Bhayangkara Jitra Kota Bengkulu Kota Bengkulu	RS	Bhayangkara	Jitra	Kota	Bengkulu	Kota	Bengkulu					
Kota Kendari	RS Bhayangkara Kendari	Jl. Gunung Meluhu No. 7 Kota Kendari	RS Bhayangkara Kendari Kota Kendari	RS	Bhayangkara	Kendari	Kota	Kendari							
Manokwari	RS Bhayangkara Lodewijk Mandatjan	Jl. Trikora Maripi KM 21	RS Bhayangkara Lodewijk Mandatjan Manokwari	RS	Bhayangkara	Lodewijk	Mandatjan	Manokwari							
Lumajang	RS Bhayangkara Lumajang	Jl. Kyai Ilyas Nomor 7, kabupaten Lumajang	RS Bhayangkara Lumajang Lumajang	RS	Bhayangkara	Lumajang	Lumajang								
Kota Mataram	RS Bhayangkara Mataram	Jl. Langko No.64,Mataram	RS Bhayangkara Mataram Kota Mataram	RS	Bhayangkara	Mataram	Kota	Mataram							
Kota Padang	RS Bhayangkara Padang	Jl. Jati No.I Padang	RS Bhayangkara Padang Kota Padang	RS	Bhayangkara	Padang	Kota	Padang							
Kota Palembang	RS Bhayangkara Palembang	JL. JENDERAL SUDIRMAN KM 4,5 Palembang Sumatera Selatan	RS Bhayangkara Palembang Kota Palembang	RS	Bhayangkara	Palembang	Kota	Palembang							
Kota Bandar Lampung	RS Bhayangkara Polda Lampung	Jl. Pramuka No.88 Rajabasa Bandar Lampung	RS Bhayangkara Polda Lampung Kota Bandar Lampung	RS	Bhayangkara	Polda	Lampung	Kota	Bandar	Lampung					
Kota Surabaya	RS Bhayangkara TK II HS. Samsoeri Mertojoso	Jl. A. Yani No.116, Surabaya	RS Bhayangkara TK II HS. Samsoeri Mertojoso Kota Surabaya	RS	Bhayangkara	TK	II	HS.	Samsoeri	Mertojoso	Kota	Surabaya			
Kota Medan	RS Bhayangkara Tingkat II	Jl KH Wahid Hasyim No.1, Medan	RS Bhayangkara Tingkat II Kota Medan	RS	Bhayangkara	Tingkat	II	Kota	Medan						
Kota Banjarmasin	RS Bhayangkara Tk. III Banjarmasin	Jl. A. Yani Km.3,5 Banjarmasin	RS Bhayangkara Tk. III Banjarmasin Kota Banjarmasin	RS	Bhayangkara	Tk.	III	Banjarmasin	Kota	Banjarmasin					
Kota Tebing Tinggi	RS Bhayangkara Tk.III Kota Tebing Tinggi	Jl Pahlawan No 17	RS Bhayangkara Tk.III Kota Tebing Tinggi Kota Tebing Tinggi	RS	Bhayangkara	Tk.III	Kota	Tebing	Tinggi	Kota	Tebing	Tinggi			
Bojonegoro	RS Bhayangkara Wahyu Tutuko Bojonegoro	Jl. Panglima Sudirman No 168-169	RS Bhayangkara Wahyu Tutuko Bojonegoro Bojonegoro	RS	Bhayangkara	Wahyu	Tutuko	Bojonegoro	Bojonegoro						
Rembang	RS Bhina Bhakti Husada	Jl. Pemuda KM. 4	RS Bhina Bhakti Husada Rembang	RS	Bhina	Bhakti	Husada	Rembang							
Kota Tangerang Selatan	RS Bhineka Bakti Husada	Jl. Cabe Raya No.17 Pondok Cabe, Pamulang Tangerang	RS Bhineka Bakti Husada Kota Tangerang Selatan	RS	Bhineka	Bakti	Husada	Kota	Tangerang	Selatan					
Jember	RS Bina Sehat Jember	Jl. Jayanegara 7 Kaliwates Jember	RS Bina Sehat Jember Jember	RS	Bina	Sehat	Jember	Jember							
Tanah Laut	RS Borneo Citra Medika	Jl A. Yani RT 7B RW 03 Kel. Angsau Kec. Pelaihari	RS Borneo Citra Medika Tanah Laut	RS	Borneo	Citra	Medika	Tanah	Laut						
Kota Tangerang Selatan	RS Buah Hati Ciputat	Jl Aria Putra No 399 Serua Indah	RS Buah Hati Ciputat Kota Tangerang Selatan	RS	Buah	Hati	Ciputat	Kota	Tangerang	Selatan					
Kota Serang	RS Budiasih	Jl. KH Sohari No.39 Serang	RS Budiasih Kota Serang	RS	Budiasih	Kota	Serang								
Banyuasin	RS Bunda Medika Jakabaring	Jl. Gubernur H.A. Bastari Jakabaring Desa Sungai Kedukan Kecamatan Rambutan	RS Bunda Medika Jakabaring Banyuasin	RS	Bunda	Medika	Jakabaring	Banyuasin							
Kota Tangerang	RS Bunda Sejati	Jl. Prabu Siliwangi No. 11 Jatiuwung Tangerang	RS Bunda Sejati Kota Tangerang	RS	Bunda	Sejati	Kota	Tangerang							
Tangerang	RS Ciputra	Jl. Citra Raya Boulevard Blok V.00/08, Tangerang	RS Ciputra Tangerang	RS	Ciputra	Tangerang									
Kota Tangerang	RS Daan Mogot	Jl. Daan Mogot No. 59, Kota Tangerang	RS Daan Mogot Kota Tangerang	RS	Daan	Mogot	Kota	Tangerang							
Nagekeo	RS Daerah Aeramo Kabupaten Nagekeo	Desa Aeramo, Kecamatan Aesesa Kabupaten Nagekeo	RS Daerah Aeramo Kabupaten Nagekeo Nagekeo	RS	Daerah	Aeramo	Kabupaten	Nagekeo	Nagekeo						
Jember	RS Daerah Balung Jember	Jl. Rambipuji nomor 19, Balung Jember	RS Daerah Balung Jember Jember	RS	Daerah	Balung	Jember	Jember							
Alor	RS Daerah Kalabahi	Jl. Dr Sutomo Kalabahi Kab. Alor	RS Daerah Kalabahi Alor	RS	Daerah	Kalabahi	Alor								
Jember	RS Daerah Kalisat Jember	Jl. M.H.Thamrin No.31 Kalisat Jember	RS Daerah Kalisat Jember Jember	RS	Daerah	Kalisat	Jember	Jember							
Kota Pekanbaru	RS Daerah Madani Kota Pekanbaru	Jl. Garuda Sakti Pekanbaru	RS Daerah Madani Kota Pekanbaru Kota Pekanbaru	RS	Daerah	Madani	Kota	Pekanbaru	Kota	Pekanbaru					
Badung	RS Daerah Mangusada	Jl. Raya Kapal Mengwi, Badung	RS Daerah Mangusada Badung	RS	Daerah	Mangusada	Badung								
Magelang	RS Daerah Merah Putih	Jl. Magelang-Yogyakarta KM 5 Mungkidan Desa Danurejo Kec. Mertoyudan	RS Daerah Merah Putih Magelang	RS	Daerah	Merah	Putih	Magelang							
Tulungagung	RS Darurat Covid-19 Bandung	Jl. Panglima Sudirman No. 18 Kec. Bandung	RS Darurat Covid-19 Bandung Tulungagung	RS	Darurat	Covid-19	Bandung	Tulungagung							
Tulungagung	RS Darurat Covid-19 Bangunjaya	Jl. Raya Bangunjaya Desa Bangunjaya Kec. Pakel	RS Darurat Covid-19 Bangunjaya Tulungagung	RS	Darurat	Covid-19	Bangunjaya	Tulungagung							
Tulungagung	RS Darurat Covid-19 Banjarejo	Desa Banjarejo Kecamatan Rejotangam	RS Darurat Covid-19 Banjarejo Tulungagung	RS	Darurat	Covid-19	Banjarejo	Tulungagung							
Tulungagung	RS Darurat Covid-19 Beji	Jl. Mastrip Desa Beji Kec. Boyolangu	RS Darurat Covid-19 Beji Tulungagung	RS	Darurat	Covid-19	Beji	Tulungagung							
Tulungagung	RS Darurat Covid-19 Besuki	Jl. Niyama Tanggulwelahan, Kec. Besuki, Tulungagung	RS Darurat Covid-19 Besuki Tulungagung	RS	Darurat	Covid-19	Besuki	Tulungagung							
Tulungagung	RS Darurat Covid-19 Campurdarat	Jl. Kanigoro No.13 Kecamatan Campurdarat	RS Darurat Covid-19 Campurdarat Tulungagung	RS	Darurat	Covid-19	Campurdarat	Tulungagung							
Tulungagung	RS Darurat Covid-19 Gondang	Jl. Raya Gondang Desa Gondang Kec. Gondang	RS Darurat Covid-19 Gondang Tulungagung	RS	Darurat	Covid-19	Gondang	Tulungagung							
Tulungagung	RS Darurat Covid-19 Karangrejo	Jl. Dahlia No. 13 Karangrejo Kec. Karangrejo	RS Darurat Covid-19 Karangrejo Tulungagung	RS	Darurat	Covid-19	Karangrejo	Tulungagung							
Tulungagung	RS Darurat Covid-19 Kauman	Jl. Soekarno Hatta Kec. Kauman	RS Darurat Covid-19 Kauman Tulungagung	RS	Darurat	Covid-19	Kauman	Tulungagung							
Tulungagung	RS Darurat Covid-19 Ngantru	Jl. Raya Ngantru Kec. Ngantru	RS Darurat Covid-19 Ngantru Tulungagung	RS	Darurat	Covid-19	Ngantru	Tulungagung							
Tulungagung	RS Darurat Covid-19 Ngunut	Jl. Raya Ngunut No. 1 Keca. Ngunut Tulungagung	RS Darurat Covid-19 Ngunut Tulungagung	RS	Darurat	Covid-19	Ngunut	Tulungagung							
Tulungagung	RS Darurat Covid-19 Pagerwojo	Jl. Raya Mulyosari Kec. Pagerwojo	RS Darurat Covid-19 Pagerwojo Tulungagung	RS	Darurat	Covid-19	Pagerwojo	Tulungagung							
Tulungagung	RS Darurat Covid-19 Pucanglaban	Jl. Sarangangin No. 1 Desa Sumberdadap Kec. Pucanglaban	RS Darurat Covid-19 Pucanglaban Tulungagung	RS	Darurat	Covid-19	Pucanglaban	Tulungagung							
Tulungagung	RS Darurat Covid-19 Rejotangan	Jl. Dhoho No. 1 RT. 01 RW. 01 Desa Rejotangan Kec. Rejotangan	RS Darurat Covid-19 Rejotangan Tulungagung	RS	Darurat	Covid-19	Rejotangan	Tulungagung							
Tulungagung	RS Darurat Covid-19 Rusumawa & Mahad IAIN Tulungag	Jl. MT. Haryono Gg. II Kudusan Plosokandang Kec. Kedungwaru	RS Darurat Covid-19 Rusumawa & Mahad IAIN Tulungag Tulungagung	RS	Darurat	Covid-19	Rusumawa	&	Mahad	IAIN	Tulungag	Tulungagung			
Tulungagung	RS Darurat Covid-19 Rusunawa Jepun Blok II	Ringin Putih Ringin Pitu Kedungwaru	RS Darurat Covid-19 Rusunawa Jepun Blok II Tulungagung	RS	Darurat	Covid-19	Rusunawa	Jepun	Blok	II	Tulungagung				
Tulungagung	RS Darurat Covid-19 Sendang	Jl. Raya Sendang Ds. Sendang Kec. Sendang	RS Darurat Covid-19 Sendang Tulungagung	RS	Darurat	Covid-19	Sendang	Tulungagung							
Tulungagung	RS Darurat Covid-19 Tanggunggunung	Jl. Raya Tanggunggunung No. 14 Kec. Tanggunggunung	RS Darurat Covid-19 Tanggunggunung Tulungagung	RS	Darurat	Covid-19	Tanggunggunung	Tulungagung							
Kediri	RS Darurat Kediri Lagi	Jl. Yos Sudarso No. 84 Tulungrejo Kec. Pare	RS Darurat Kediri Lagi Kediri	RS	Darurat	Kediri	Lagi	Kediri							
Tulungagung	RS Darurat covid-19 Kalidawir	Jl. Melati No. 2 Kalidawir Keca. Kalidawir	RS Darurat covid-19 Kalidawir Tulungagung	RS	Darurat	covid-19	Kalidawir	Tulungagung							
Kota Tangerang	RS Dinda	Jl. Galuh No. 2 Jatiuwung, Cibodas - Tangerang	RS Dinda Kota Tangerang	RS	Dinda	Kota	Tangerang								
Lumajang	RS Djatiroto	Jl. PB. Sudirman 81 RT 03 RW 01, Dsn. Krajan Desa Kaliboto Lor Kec. Jatiroto, Kab. Lumajang	RS Djatiroto Lumajang	RS	Djatiroto	Lumajang									
Kota Makassar	RS Dr. Tadjuddin Chalid, MPH	Jl. Paccerakkang No.67 / Pajjaiang Daya Makassar	RS Dr. Tadjuddin Chalid, MPH Kota Makassar	RS	Dr.	Tadjuddin	Chalid,	MPH	Kota	Makassar					
Bogor	RS EMC Sentul	Jl. MH. Thamrin Kav. 57 Sentul City, Bogor 16810	RS EMC Sentul Bogor	RS	EMC	Sentul	Bogor								
Kota Tangerang	RS EMC Tangerang	Jl. KH. Hasyim Ashari No.24 Tangerang	RS EMC Tangerang Kota Tangerang	RS	EMC	Tangerang	Kota	Tangerang							
Kota Bandung	RS Edelweiss	Jl. Soekarno Hatta No. 550 Kel. Sekejati Kec. Buahbatu	RS Edelweiss Kota Bandung	RS	Edelweiss	Kota	Bandung								
Kota Tangerang Selatan	RS Eka	Central Business Distric Lot IX, BSD City.	RS Eka Kota Tangerang Selatan	RS	Eka	Kota	Tangerang	Selatan							
Bogor	RS Eka Hospital	Perum Kota Wisata Kav. V2, Desa Nagrak, Kec. Gunung Putri Kab. Bogor	RS Eka Hospital Bogor	RS	Eka	Hospital	Bogor								
Situbondo	RS Elizabeth	Jl. WR Supratman Nomor 2A Situbondo	RS Elizabeth Situbondo	RS	Elizabeth	Situbondo									
Kota Mojokerto	RS Emma	Jl. Raya Ijen No.67 Kel. Wates, Kec. Magersari, Kota Mojokerto	RS Emma Kota Mojokerto	RS	Emma	Kota	Mojokerto								
Gresik	RS Fathma Medika	JL. PENDOPO NO. 45, SEMBAYAT, MANYAR	RS Fathma Medika Gresik	RS	Fathma	Medika	Gresik								
Tana Toraja	RS Fatima Makale	Jl. Nusantara No.18 Makale Tator	RS Fatima Makale Tana Toraja	RS	Fatima	Makale	Tana	Toraja							
Wonogiri	RS Fitri Candra	Jl. Brigjjend Katamso, Klampisan, Selogiri Wonogiri 57652	RS Fitri Candra Wonogiri	RS	Fitri	Candra	Wonogiri								
Kota Mojokerto	RS Gatoel	Jl. Raden Wijaya No. 56 Kel. Kranggan Kec. Prajurit Kulon	RS Gatoel Kota Mojokerto	RS	Gatoel	Kota	Mojokerto								
Kota Surabaya	RS Gotong Royong	Jl. Medokan Semampir Indah No. 97 Surabaya	RS Gotong Royong Kota Surabaya	RS	Gotong	Royong	Kota	Surabaya							
Banyuwangi	RS Graha Medika	Jl. Raya Yosomulyo, Gambiran, Banyuwangi	RS Graha Medika Banyuwangi	RS	Graha	Medika	Banyuwangi								
Probolinggo	RS Graha Sehat	Jl. Raya Panglima Sudirman No.2 B Kraksaan	RS Graha Sehat Probolinggo	RS	Graha	Sehat	Probolinggo								
Deli Serdang	RS Grandmed	Jl Medan km. 25 no. 66 Lubuk Pakam	RS Grandmed Deli Serdang	RS	Grandmed	Deli	Serdang								
Kota Makassar	RS Grestelina	Jl. Hertasning Raya No.52 Makassar	RS Grestelina Kota Makassar	RS	Grestelina	Kota	Makassar								
Gresik	RS Grha Husada Gresik	Jl. Padi No. 3 Komplek Perumahan PT Petrokimia Gresik	RS Grha Husada Gresik Gresik	RS	Grha	Husada	Gresik	Gresik							
Bekasi	RS Grha MM2100	Jl. Kalimantan Blok CB No.1 Kawasan Industri MM2100, Gandasari, Cikarang Barat	RS Grha MM2100 Bekasi	RS	Grha	MM2100	Bekasi								
Sumbawa	RS H. L. Manambai Abdulkadir	Jl. Lintas Sumbawa-Bima KM. 5 Sumbawa Besar	RS H. L. Manambai Abdulkadir Sumbawa	RS	H.	L.	Manambai	Abdulkadir	Sumbawa						
Brebes	RS Harapan Sehat Bumiayu	Jl. Lingkar Bumiayu Perempatan Negaradaha Kec. Bumiayu Kab. Brebes	RS Harapan Sehat Bumiayu Brebes	RS	Harapan	Sehat	Bumiayu	Brebes							
Brebes	RS Harapan Sehat Jatibarang	Jl. Raya Jatibarang-Brebes, Janegara, Jatibarang	RS Harapan Sehat Jatibarang Brebes	RS	Harapan	Sehat	Jatibarang	Brebes							
Pemalang	RS Harapan Sehat Pemalang	Jl. RE Martadinata	RS Harapan Sehat Pemalang Pemalang	RS	Harapan	Sehat	Pemalang	Pemalang							
Tegal	RS Harapan Sehat Slawi	Jl. Gatot Subroto, Slawi, Kabupaten Tegal	RS Harapan Sehat Slawi Tegal	RS	Harapan	Sehat	Slawi	Tegal							
Tegal	RS Hawari Essa	Jl. Slawi Purwokerto RT 001 RW 002 Desa Kajen Kecamatan Lebaksiu	RS Hawari Essa Tegal	RS	Hawari	Essa	Tegal								
Kota Bekasi	RS Helsa	Jl. Raya Hankam No. 17 Pondok Melati Kota Bekasi	RS Helsa Kota Bekasi	RS	Helsa	Kota	Bekasi								
Bogor	RS Helsa Citeureup	Jl. Mayor Oking No 92A Citeureup Bogor	RS Helsa Citeureup Bogor	RS	Helsa	Citeureup	Bogor								
Kota Balikpapan	RS Hermina Balikpapan	Jl. MT Haryono No 45	RS Hermina Balikpapan Kota Balikpapan	RS	Hermina	Balikpapan	Kota	Balikpapan							
Kota Tangerang Selatan	RS Hermina Ciputat	Jl Ciputat Raya No 2 Kertamukti Ciputat	RS Hermina Ciputat Kota Tangerang Selatan	RS	Hermina	Ciputat	Kota	Tangerang	Selatan						
Serang	RS Hermina Ciruas	Jl.Raya Serang-Jakarta Km.9 Ds.Ranjeng Rt 01/01 Kec.Ciruas	RS Hermina Ciruas Serang	RS	Hermina	Ciruas	Serang								
Karawang	RS Hermina Karawang	Jl. Tuparev Sukasari Kel. Karawang Wetan Kec. Karawang Timur Karawang	RS Hermina Karawang Karawang	RS	Hermina	Karawang	Karawang								
Kota Bandar Lampung	RS Hermina Lampung	Jl. Tulang Bawang No. 21 Kel. Enggal Kec. Enggal	RS Hermina Lampung Kota Bandar Lampung	RS	Hermina	Lampung	Kota	Bandar	Lampung						
