"","hospital","address","bed_availability","queue","last_update","tlp_number","province","district","scraped_at","bed_type"
"38","RS Umum Daerah Depati Bahrin","Jl. Jend Sudirman No.195, Kel.Parit Padang Kec.Sungailiat Propinsi Kepulauan Bangka Belitung","Bed IGD Penuh!","tanpa antrian pasien.","kurang dari 1 menit","071792489","19","1901",2021-08-15 20:55:55,"COVID-19"
"39","RS Umum Daerah DR. Eko Maulana Ali","JL. RAYA BELINYU DUSUN SIMPANG CANGKUM DESA RIDING PANJANG KECAMATAN BELINYU","Bed IGD Penuh!","tanpa antrian pasien.","7 jam","08117177152","19","1901",2021-08-15 20:55:55,"COVID-19"
"40","RS Umum Medika Stannia","Jl. Jend. Sudirman No. 03, Kel. Sungailiat Kec. Sungailiat","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","085268691386","19","1901",2021-08-15 20:55:55,"COVID-19"
"41","RS Umum Daerah Sjafrie Rachman Puding Besar","Jl. Raya Sungailiat Mentok Desa Puding Besar kecamatan Puding Besar ","Bed IGD Penuh!","tanpa antrian pasien.","34 jam","081398430909","19","1901",2021-08-15 20:55:55,"COVID-19"
"42","RS Umum Daerah Sejiran Setason","Jl. Kadur Dalam, Ds Belo Laut Kecamatan Muntok","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","12 jam","08117117783","19","1903",2021-08-15 20:55:56,"COVID-19"
"43","RS Umum Bakti Timah Muntok","Jl. Raya Komplek Unmet Muntok","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","13 jam","071621009","19","1903",2021-08-15 20:55:56,"COVID-19"
"44","RS Umum Daerah Kab.Bangka Tengah","Jl. By Pass No 01 Kec.Koba,Kab. Bangka Tengah","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","10 jam","085383884511","19","1904",2021-08-15 20:55:56,"COVID-19"
"45","RS Bhayangkara Polda Kep. Bangka Belitung","Jl. Telaga Biru No. 1 Padang Baru","Bed IGD Penuh!","tanpa antrian pasien.","37 jam","hotline tidak tersedia","19","1904",2021-08-15 20:55:56,"COVID-19"
"46","RS Umum Daerah Syarifah Ambami Rato Ebu","  Jl. Pemuda Kaffa No. 9 Bangkalan","Tersedia 12 bed kosong IGD","tanpa antrian pasien.","2 jam","0313095088","35","3526",2021-08-15 20:55:57,"COVID-19"
"47","RS Umum Anna Medika Madura","Jl. RE Martadinata No. 10 Bangkalan","Bed IGD Penuh!","tanpa antrian pasien.","3 jam","03199303942","35","3526",2021-08-15 20:55:57,"COVID-19"
"48","RS Jiwa Provinsi Bali","Jl.Kusuma Yudha No. 29 Bangli","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","49 menit","036691073","51","5106",2021-08-15 20:55:57,"COVID-19"
"49","RS Umum Daerah Kabupaten Bangli"," Jl. Brigjen Ngurah Rai No. 99X Bangli","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","8 jam","036691521","51","5106",2021-08-15 20:55:57,"COVID-19"
"50","RS Umum Bangli Medika Canti","Jl. Tirta Giri Kutri, LC Subak Aya, Bebalang","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","37 jam","036691555","51","5106",2021-08-15 20:55:57,"COVID-19"
"51","RS Umum Pelita Insani","Jl. Sekumpul No. 66 Martapura","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","05114722210","63","6303",2021-08-15 20:55:58,"COVID-19"
"52","RS Umum Daerah Ratu Zalecha","Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan","Bed IGD Penuh!","tanpa antrian pasien.","13 jam","05114789455","63","6303",2021-08-15 20:55:58,"COVID-19"
"53","RS Jiwa Sambang Lihum","Jl Gubernur Syarkawi KM.3,9 Kec.Gambut","Bed IGD Penuh!","tanpa antrian pasien.","33 jam","05116730000","63","6303",2021-08-15 20:55:58,"COVID-19"
"54","RS Umum Ciputra Mitra Hospital","Jl A. Yani Km 7,8 Komplek Perumahan Citra Land Banjarmasin Kalimantan Selatan","Bed IGD Penuh!","tanpa antrian pasien.","37 jam","05116743999","63","6303",2021-08-15 20:55:58,"COVID-19"
"55","RS Umum Islam Banjarnegara","Jl Raya Bawang KM 9 Banjarnegara","Tersedia 22 bed kosong IGD","tanpa antrian pasien.","41 menit","02865988848","33","3304",2021-08-15 20:55:58,"COVID-19"
"56","RS Umum Daerah Hj. Anna Lasmanah Banjarnegara","Jl. Jendral Sudirman  No.42 Banjarnegara","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","53 menit","0286591464","33","3304",2021-08-15 20:55:58,"COVID-19"
"57","RS Umum PKU Muhammadiyah Banjarnegara","Jl. Raya Banjarnegara Banyumas KM. 18 Danaraja Purwanegara Banjarnegara","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","2 jam","0286411598","33","3304",2021-08-15 20:55:58,"COVID-19"
"58","RS Umum Emmanuel","Jl. Raya Purwareja Klampok - Banjarnegara","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","4 jam","(0286) 479030","33","3304",2021-08-15 20:55:58,"COVID-19"
"59","RS Umum Daerah Prof. Dr. H. Anwar Makkatutu","Jl. Teratai No. 20 Kel. Pallantikang, Kec. Bantaeng","Bed IGD Penuh!","tanpa antrian pasien.","8 jam","hotline tidak tersedia","73","7303",2021-08-15 20:55:58,"COVID-19"
"60","RSU PKU Muhammadiyah Bantul","Jl Jenderal Sudirman 124 Bantul","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","17 menit","0274367437","34","3402",2021-08-15 20:55:59,"COVID-19"
"61","RS Ibu Anak Ummi Khasanah","Jl Pemuda Ds Gandekan Bantul","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","54 menit","0274367638","34","3402",2021-08-15 20:55:59,"COVID-19"
"62","RS Umum Griya Mahardika Yogyakarta","jl. Parangtritis KM 4.5 gang Wijayakusuma No 212 Yogyakarta","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","3 jam","0274445024","34","3402",2021-08-15 20:55:59,"COVID-19"
"63","RSPAU Dr.  Suhardi Harjolukito","         Jl. Raya Janti Blok O Yogyakarta","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","7 jam","0274444702","34","3402",2021-08-15 20:55:59,"COVID-19"
"64","RS Lapangan Khusus Covid-19 Kab. Bantul","Jl. Samas KM 19 Dusun Selo Desa Sidomulyo Kec. Bambanglipuro ","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","8 jam","hotline tidak tersedia","34","3402",2021-08-15 20:55:59,"COVID-19"
"65","RS Umum Permata Husada","Jl Pleret-Kotagede Km. 4  Kauman Pleret","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","15 jam","hotline tidak tersedia","34","3402",2021-08-15 20:55:59,"COVID-19"
"66","RS Rajawali Citra ","Jl Pleret Km.2,5, Banjardadap Potorono Banguntapan Bantul ","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","36 jam","02744435620","34","3402",2021-08-15 20:55:59,"COVID-19"
"67","RS Paru Respira","Jl Panembahan Senopati No 4, Palbapang, Bantul, Yogyakarta","Bed IGD Penuh!","tanpa antrian pasien.","2 menit","0274367326","34","3402",2021-08-15 20:55:59,"COVID-19"
"68","RS Umum Santa Elisabeth","Ganjuran Sumbermulyo Bambanglipuro","Bed IGD Penuh!","tanpa antrian pasien.","3 menit","02746460400","34","3402",2021-08-15 20:55:59,"COVID-19"
"69","RS Umum Daerah Panembahan Senopati","Jl Dr. Wahidin Sudiro Husodo Bantul","Bed IGD Penuh!","tanpa antrian pasien.","41 menit","hotline tidak tersedia","34","3402",2021-08-15 20:55:59,"COVID-19"
"70","RS Umum Nur Hidayah","Jl Imogiri Timur Km. 11,5 Trimulyo Jetis Bantul","Bed IGD Penuh!","tanpa antrian pasien.","53 menit","085100472941","34","3402",2021-08-15 20:55:59,"COVID-19"
"71","RS Umum Rachma Husada "," Jl Parantritis Km.16 Gerselo Patalan Jetis Bantul ","Bed IGD Penuh!","tanpa antrian pasien.","6 jam","02746460089","34","3402",2021-08-15 20:55:59,"COVID-19"
"72","RS Khusus Ibu dan Anak Kahyangan","Jl Tinosidin No 390 Cebongan Ngestiharjo Kasihan Bantul","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","hotline tidak tersedia","34","3402",2021-08-15 20:55:59,"COVID-19"
"73","RS Umum Pusat Dr. Rivai Abdullah","Jl. Sungai Kundur Kelurahan Mariana Kec. Banyuasin I ","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","12 menit","07117537201","16","1607",2021-08-15 20:55:59,"COVID-19"
"74","RS Bunda Medika Jakabaring","Jl. Gubernur H.A. Bastari Jakabaring Desa Sungai Kedukan Kecamatan Rambutan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","3 jam","085384532735","16","1607",2021-08-15 20:55:59,"COVID-19"
"75","RS Hermina OPI Jakabaring","Jl. Gub H A Bastari RT 026 Dusun II Desa Sungai Kedukan Kec Rambutan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","12 jam","081133305811","16","1607",2021-08-15 20:55:59,"COVID-19"
"76","RS Umum Daerah Banyuasin","Jl. Raya Palembang - Betung Km.48,Pangkalan Balai Banyuasin","Bed IGD Penuh!","tanpa antrian pasien.","3 jam","0711891647","16","1607",2021-08-15 20:55:59,"COVID-19"
"77","RS Umum Daerah Prof Dr. Margono Soekarjo"," Jl. Dr Gumbreg No. 1 Purwokerto","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","1 menit","0281632708","33","3302",2021-08-15 20:56:00,"COVID-19"
"78","RS Umum An Ni'mah","Jalan Raya Klapagading Kulon Rt 01 Rw 14 Kec Wangon - Banyumas","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","31 menit","02815700170","33","3302",2021-08-15 20:56:00,"COVID-19"
"79","RS Umum Daerah Ajibarang","    Jl. Raya Pancasan No.1,Ajibarang Banyumas","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","2 jam","02816570004","33","3302",2021-08-15 20:56:00,"COVID-19"
"80","RS Umum Sinar Kasih","Jl. Martadireja II Purwokerto","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","3 jam","0281638370","33","3302",2021-08-15 20:56:00,"COVID-19"
"81","RS Umum Santa Elisabeth Purwokerto","Jl. dr. Angka No. 40 Purwokerto","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","3 jam","0281625857","33","3302",2021-08-15 20:56:00,"COVID-19"
"82","RS Umum Islam Purwokerto","Jl. H. Masyuri Rejasari No 39 Purwokerto","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","3 jam","0281630019","33","3302",2021-08-15 20:56:00,"COVID-19"
"83","RS Umum Medika Lestari Banyumas","Jl. Raya Nasional Pageralang RT 03 RW 03 Kemranjen Banyumas","Tersedia 15 bed kosong IGD","tanpa antrian pasien.","3 jam","02825291299","33","3302",2021-08-15 20:56:00,"COVID-19"
"84","RS Umum Ananda Purwokerto","Jl. Pemuda No. 30 Purwokerto","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","4 jam","0281636417","33","3302",2021-08-15 20:56:00,"COVID-19"
"85","RS Umum Wiradadi Husada","Jl. Menteri Supeno No. 25, Sokaraja-Banyumas","Tersedia 15 bed kosong IGD","tanpa antrian pasien.","8 jam","02816846225","33","3302",2021-08-15 20:56:00,"COVID-19"
"86","RS Hermina Purwokerto","Jl. Yos Sudarso RT 003 RW 001 Karanglewas Lor Kec.Purwokerto Barat, Kab. Banyumas","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","11 jam","02817773333","33","3302",2021-08-15 20:56:00,"COVID-19"
"87","RS Umum Dadi Keluarga","Jl. Perumnas Teluk No. 42 Kel. Teluk Kec. Purwokerto Selatan","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","11 jam","02816847366","33","3302",2021-08-15 20:56:00,"COVID-19"
"88","RS Ibu dan Anak Amanah","Jl Raya Kebokura No.37 Kec Sumpiuh Kab Banyumas","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","11 jam","0282497548","33","3302",2021-08-15 20:56:00,"COVID-19"
"89","RS umum Daerah Banyumas","Jl. Rumah Sakit No.1 Banyumas","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","12 jam","0281796031","33","3302",2021-08-15 20:56:00,"COVID-19"
"90","RS Umum Siaga Medika Banyumas","Jl. Pramuka No. 55 Banyumas","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","14 jam","0281796100","33","3302",2021-08-15 20:56:00,"COVID-19"
"91","RS Umum Tk. III Wijayakusuma","Jl. Prof.Dr. HR Bunyamin Purwokerto","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","14 jam","081390972129","33","3302",2021-08-15 20:56:00,"COVID-19"
"92","RS Khusus Bedah Mitra Ariva","Jl. Raya Ajibarang WetanAjibarang Banyumas","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","23 jam","0281571328","33","3302",2021-08-15 20:56:00,"COVID-19"
"93","RS Khusus Bedah Orthopedi","JL Soepardjo Rustam No. 99 Sokaraja Kab. Banyumas","Bed IGD Penuh!","tanpa antrian pasien.","10 jam","02816844166","33","3302",2021-08-15 20:56:00,"COVID-19"
"94","RS Ibu dan Anak Bunda Arif","Jl. Jatiwinangun No. 16 Purwokerto Kab.Banyumas","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","0281636555","33","3302",2021-08-15 20:56:00,"COVID-19"
"95","RS Umum Bunda","Jl. Pramuka No. 249 Purwokerto","Bed IGD Penuh!","tanpa antrian pasien.","36 jam","0281635424","33","3302",2021-08-15 20:56:00,"COVID-19"
"96","RS Al Huda ","Jl. Raya Gambiran No. 225, Desa Gambiran, Kec. Gambiran, Kab. Banyuwangi","Tersedia 9 bed kosong IGD","tanpa antrian pasien.","12 menit","0333842034","35","3510",2021-08-15 20:56:01,"COVID-19"
"97","RS Islam Fatimah","Jl. Jember nomor 25, Kelurahan Kalirejo, Kab. Banyuwangi","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","30 menit","0333421451","35","3510",2021-08-15 20:56:01,"COVID-19"
"98","RS Graha Medika","Jl. Raya Yosomulyo, Gambiran, Banyuwangi","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","5 jam","0333848999","35","3510",2021-08-15 20:56:01,"COVID-19"
"99","RS Umum Daerah Genteng","   Jl. Hasanudin No.98, Genteng, Banyuwangi","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","9 jam","08113439904","35","3510",2021-08-15 20:56:01,"COVID-19"
"100","RS Umum Bhakti Husada","Jl. Krikilan-Glenmore Dusun Krajan, Tegalharjo","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","12 jam","0333821118","35","3510",2021-08-15 20:56:01,"COVID-19"
"101","RS Umum Daerah Blambangan","  Jl. Letkol Istiqlah No. 49 Banyuwangi","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","15 jam","0333421118 ","35","3510",2021-08-15 20:56:01,"COVID-19"
"102","RS Nahdlatul Ulama Banyuwangi","Jl. Raya Mangir No. 9, Kec. Rogojampi, Banyuwangi","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","36 jam","0333632965","35","3510",2021-08-15 20:56:01,"COVID-19"
"103","RS Umum Bakti Mulia Banyuwangi","Jl. Brawijaya No. 46-47 Banyuwangi","Bed IGD Penuh!","tanpa antrian pasien.","36 jam","0333590001","35","3510",2021-08-15 20:56:01,"COVID-19"
"104","RS Umum Daerah  H. Abdul Aziz Marabahan","  Jl. Jend Sudirman No.10, RT. 13 RW. 001, Marabahan","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","12 jam","05114799118","63","6304",2021-08-15 20:56:01,"COVID-19"
"105","RS Umum Batara Siang","  Jl. Sultan Hasanudin 7 Pangkajene","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","38 jam","0811415118","73","7310",2021-08-15 20:56:06,"COVID-19"
"106","RS Umum Qim","Jl. Urip Sumoharjo, Sambong","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","1 menit","02854495222","33","3325",2021-08-15 20:56:06,"COVID-19"
"107","RS Umum Daerah Limpung","Jl. Dr. Soetomo No. 17A Limpung 51271","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","32 menit","02854468362","33","3325",2021-08-15 20:56:06,"COVID-19"
"108","RS Umum Daerah Kab. Batang","  Jl. Dr Sutomo No. 42 Batang","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","44 menit","02854493035","33","3325",2021-08-15 20:56:06,"COVID-19"
"109","RS Umum Daerah Haji Abdoel Madjid Batoe","Jl. Prof. Dr. Sri Soedewi  Muara Bulian","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","11 jam","074321043","15","1504",2021-08-15 20:56:07,"COVID-19"
"110","RS Mitra Medika Batang Hari","Jl. Gajah Mada Kel. Teratai Kec. Muara Bulian","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","074321555","15","1504",2021-08-15 20:56:07,"COVID-19"
"111","RS Umum Daerah Batu Bara","Jl Datuk Kubah Batu Bara, Kwala  Gunung Kec. Lima Puluh Kab. Batu Bara","Bed IGD Penuh!","tanpa antrian pasien.","21 jam","082277505868","12","1219",2021-08-15 20:56:07,"COVID-19"
"112","RS Umum Karya Medika II"," Jl. Sultan Hasanuddin No.63 Kec. Tambun Selatan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","10 menit","08111990020","32","3216",2021-08-15 20:56:08,"COVID-19"
"113","RS Umum Kartika Husada","Jl. Raya Mangunjaya No.07 Kp.Rukem,Tambun - Bekasi","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","18 menit","081318273414","32","3216",2021-08-15 20:56:08,"COVID-19"
"114","RS Umum Daerah Kab.Bekasi"," Jl. Teuku Umar Cibitung,Bekasi","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","23 menit","02188374444","32","3216",2021-08-15 20:56:08,"COVID-19"
"115","RS Umum Cibitung Medika","Jl. H. Bosih No.117 Cibitung Kabupaten Bekasi","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","25 menit","02188323444","32","3216",2021-08-15 20:56:08,"COVID-19"
"116","RS Umum Karya Medika","Jl. Imam Bonjol No. 9B","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","38 menit","0218900190","32","3216",2021-08-15 20:56:08,"COVID-19"
"117","RS Umum Medirossa Cikarang"," Jl. Industri Tegal Gede No.09, Cikarang Selatan Bekasi","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","43 menit","081519725561","32","3216",2021-08-15 20:56:08,"COVID-19"
"118","RS Umum Mitra Keluarga Cikarang","Jl. Induistri Raya 100, Lemah Abang","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","54 menit","02189840500","32","3216",2021-08-15 20:56:08,"COVID-19"
"119","RS Umum Permata Keluarga Lippo Cikarang","JL. M.H Thamrin Kav 129 Lippo Cikarang, Bekasi 17599","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","55 menit","081295391912","32","3216",2021-08-15 20:56:08,"COVID-19"
