"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"11","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung",4,NA,21,NA,5,NA,"02287799430","32","3204",2021-08-12 22:22:50,"Non COVID-19"
"12","RS Umum Daerah Soreang"," Jl. Alun-Alun Utara No. 1 Soreang",7,"15 jam",34,"15 jam",25,"15 jam","0225891355","32","3204",2021-08-12 22:22:50,"Non COVID-19"
"13","RS Unggul Karsa Medika","Jl. Taman Kopo Indah III Blok H No. 1, Desa MekarRahayu, Kecamatan MargaAsih, Kabupaten Bandung",1,"13 jam",4,"13 jam",24,"13 jam","02286011220","32","3204",2021-08-12 22:22:50,"Non COVID-19"
"14","RS Umum Daerah Kesehatan Kerja","Jl. Raya Rancaekek KM. 27 NO. 612 Desa Nanjungmekar Kec. Rancaekek",2,"kurang dari 1 menit",6,"kurang dari 1 menit",13,"kurang dari 1 menit","0227798778","32","3204",2021-08-12 22:22:50,"Non COVID-19"
"15","RS Umum Bina Sehat ","Jl. Raya Dayeuhkolot No.325 Bandung",6,NA,0,NA,3,NA,"0225207963","32","3204",2021-08-12 22:22:50,"Non COVID-19"
"16","RS Umum AMC ","Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat 40622",23,NA,25,NA,32,NA,"0813-1656-0227","32","3204",2021-08-12 22:22:50,"Non COVID-19"
"17","RS Umum Daerah Cililin","Jl. Blok Cinta Karya Desa Cililin Kecamatan Cililin Kabupaten Bandung Barat",2,NA,1,NA,25,"14 jam","082216236728","32","3217",2021-08-12 22:22:50,"Non COVID-19"
"18","RS Umum Daerah Lembang","Jl. Raya Lembang KM.11,4 No.11 Desa Gudang Kahuripan Kec. Lembang",4,"18 jam",NA,NA,47,"18 jam","0222786879","32","3217",2021-08-12 22:22:50,"Non COVID-19"
"19","RS Karisma Cimareme","Jl. Raya Cimareme No. 235 RT. 03 RW. 01 Kec.Ngamprah",4,NA,12,NA,16,NA,"0226866221","32","3217",2021-08-12 22:22:50,"Non COVID-19"
"20","RS Umum Daerah Cikalong Wetan","Jl. Padalarang - Purwakarta KM 11 Cikalong Wetan",NA,NA,NA,NA,38,"19 jam","022868666243","32","3217",2021-08-12 22:22:50,"Non COVID-19"
"21","RS Ibu dan Anak Kartini","Jl. Letkol GA Manulang No. 46 Padalarang Bandung Barat",4,NA,3,NA,9,NA,"hotline tidak tersedia","32","3217",2021-08-12 22:22:50,"Non COVID-19"
"22","RS Ibu dan Anak Graha Medika Padalarang","Jl. Raya Padalarang Ruko Padalarang Point No. 527 ",7,NA,6,NA,10,NA,"02287785998","32","3217",2021-08-12 22:22:50,"Non COVID-19"
"23","RS Jiwa Provinsi Jawa Barat","Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat",3,"15 jam",23,"15 jam",25,"15 jam","0222700909","32","3217",2021-08-12 22:22:50,"Non COVID-19"
"24","RS Umum Cahya Kawaluyan","Jl. Parahyangan KM. 3 - Kota Baru Parahyangan Kec. Padalarang KBB",0,NA,4,NA,22,NA,"0226803700","32","3217",2021-08-12 22:22:50,"Non COVID-19"
"25","RS Umum Daerah Kabupaten Banggai ","Jl. Imam Bonjol KM 3 No. 14 Luwuk",27,"14 jam",38,"14 jam",91,"14 jam","046121820","72","7202",2021-08-12 22:22:51,"Non COVID-19"
"26","RS Umum Daerah Trikora Salakan","Jl. Trans Peling KM. 5 No. 1 Salakan",4,NA,14,"15 jam",44,"15 jam","082188611244","72","7201",2021-08-12 22:22:51,"Non COVID-19"
"27","RS Umum Daerah Banggai","Jl. KM 7.Adean Kabupaten Banggai Laut",11,NA,20,NA,33,NA,"085394566701","72","7211",2021-08-12 22:22:51,"Non COVID-19"
"28","RS Umum Daerah Depati Bahrin","Jl. Jend Sudirman No.195, Kel.Parit Padang Kec.Sungailiat Propinsi Kepulauan Bangka Belitung",21,"2 menit",13,"2 menit",21,"2 menit","071792489","19","1901",2021-08-12 22:22:51,"Non COVID-19"
"29","RS Umum Daerah Syarifah Ambami Rato Ebu","  Jl. Pemuda Kaffa No. 9 Bangkalan",8,"9 jam",6,"9 jam",32,"9 jam","0313095088","35","3526",2021-08-12 22:22:52,"Non COVID-19"
"30","RS Umum Daerah Kabupaten Bangli"," Jl. Brigjen Ngurah Rai No. 99X Bangli",9,"14 jam",16,NA,43,NA,"036691521","51","5106",2021-08-12 22:22:52,"Non COVID-19"
"31","RS Umum Bangli Medika Canti","Jl. Tirta Giri Kutri, LC Subak Aya, Bebalang",1,"36 jam",3,"36 jam",0,"37 jam","036691555","51","5106",2021-08-12 22:22:52,"Non COVID-19"
"32","RS Umum Daerah Ratu Zalecha","Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan",33,NA,53,NA,57,NA,"05114789455","63","6303",2021-08-12 22:22:52,"Non COVID-19"
"33","RS Umum Emmanuel","Jl. Raya Purwareja Klampok - Banjarnegara",15,NA,14,NA,49,NA,"(0286) 479030","33","3304",2021-08-12 22:22:53,"Non COVID-19"
"34","RS Umum Daerah Panembahan Senopati","Jl Dr. Wahidin Sudiro Husodo Bantul",4,NA,6,NA,52,NA,"hotline tidak tersedia","34","3402",2021-08-12 22:22:53,"Non COVID-19"
"35","RS Umum Santa Elisabeth","Ganjuran Sumbermulyo Bambanglipuro",2,NA,1,NA,5,NA,"02746460400","34","3402",2021-08-12 22:22:53,"Non COVID-19"
"36","RS Ibu Anak Ummi Khasanah","Jl Pemuda Ds Gandekan Bantul",2,"21 menit",0,"21 menit",0,"21 menit","0274367638","34","3402",2021-08-12 22:22:53,"Non COVID-19"
"37","RS Umum Nur Hidayah","Jl Imogiri Timur Km. 11,5 Trimulyo Jetis Bantul",4,"20 menit",7,"20 menit",27,"20 menit","085100472941","34","3402",2021-08-12 22:22:53,"Non COVID-19"
"38","RS Umum Griya Mahardika Yogyakarta","jl. Parangtritis KM 4.5 gang Wijayakusuma No 212 Yogyakarta",10,"1 jam",4,"1 jam",0,"1 jam","0274445024","34","3402",2021-08-12 22:22:53,"Non COVID-19"
"39","RS Umum Daerah Banyuasin","Jl. Raya Palembang - Betung Km.48,Pangkalan Balai Banyuasin",15,"13 jam",13,"13 jam",29,"13 jam","0711891647","16","1607",2021-08-12 22:22:54,"Non COVID-19"
"40","RS Bunda Medika Jakabaring","Jl. Gubernur H.A. Bastari Jakabaring Desa Sungai Kedukan Kecamatan Rambutan",13,NA,17,NA,20,NA,"085384532735","16","1607",2021-08-12 22:22:54,"Non COVID-19"
"41","RS Umum Pusat Dr. Rivai Abdullah","Jl. Sungai Kundur Kelurahan Mariana Kec. Banyuasin I ",8,"39 menit",9,"39 menit",46,"39 menit","07117537201","16","1607",2021-08-12 22:22:54,"Non COVID-19"
"42","RS umum Daerah Banyumas","Jl. Rumah Sakit No.1 Banyumas",6,"17 jam",20,"17 jam",14,"17 jam","0281796031","33","3302",2021-08-12 22:22:57,"Non COVID-19"
"43","RS Khusus Bedah Jatiwinangun"," Jl. Jatiwinangun No.54, Purwokerto",4,NA,4,NA,16,NA,"0281632632","33","3302",2021-08-12 22:22:57,"Non COVID-19"
"44","RS Ibu dan Anak Amanah","Jl Raya Kebokura No.37 Kec Sumpiuh Kab Banyumas",7,"4 menit",2,"4 menit",0,"4 menit","0282497548","33","3302",2021-08-12 22:22:57,"Non COVID-19"
"45","RS Umum Islam Purwokerto","Jl. H. Masyuri Rejasari No 39 Purwokerto",6,"4 menit",2,"4 menit",18,"4 menit","0281630019","33","3302",2021-08-12 22:22:57,"Non COVID-19"
"46","RS Umum Daerah Ajibarang","    Jl. Raya Pancasan No.1,Ajibarang Banyumas",6,"15 jam",13,"15 jam",36,"15 jam","02816570004","33","3302",2021-08-12 22:22:57,"Non COVID-19"
"47","RS Umum Daerah Blambangan","  Jl. Letkol Istiqlah No. 49 Banyuwangi",13,"44 jam",24,"44 jam",70,"44 jam","0333421118 ","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"48","RS Umum Bhakti Husada","Jl. Krikilan-Glenmore Dusun Krajan, Tegalharjo",7,NA,8,"14 jam",9,NA,"0333821118","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"49","RS Yasmin","Jl. Letkol Istiqlah Nomor 80-84 Banyuwangi",2,"14 jam",3,"14 jam",7,"14 jam","0333424671","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"50","RS Nahdlatul Ulama Banyuwangi","Jl. Raya Mangir No. 9, Kec. Rogojampi, Banyuwangi",NA,NA,4,"15 jam",10,"15 jam","0333632965","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"51","RS Al Huda ","Jl. Raya Gambiran No. 225, Desa Gambiran, Kec. Gambiran, Kab. Banyuwangi",6,"14 jam",19,NA,19,"14 jam","0333842034","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"52","RS Umum PKU Muhammadiyah Rogojampi","Jalan Diponegoro Nomor 20 Rogojampi, Kab. Banyuwangi",10,NA,20,NA,30,NA,"0333631149","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"53","RS Graha Medika","Jl. Raya Yosomulyo, Gambiran, Banyuwangi",2,"14 jam",13,"14 jam",15,"21 jam","0333848999","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"54","RS Ibu dan Anak Abdhi Famili","Jl. Diponegoro No. 5 Wringinrejo RT 005 / RW 005 Gambiran Banyuwangi",0,"11 jam",6,"11 jam",6,"11 jam","082337503418","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"55","RS Al-Rohmah Banyuwangi","Jl. A. Yani No. 37 Jajag Gambiran, Banyuwangi",5,NA,10,"21 menit",20,NA,"0333397267","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"56","RS Ibu dan Anak Rahayu Medika","Jl. Pekulo-Sukomukti No.09, Kebaman, Srono, Banyuwangi",NA,NA,5,NA,23,NA,"0333911542","35","3510",2021-08-12 22:22:57,"Non COVID-19"
"57","RS Umum Daerah Jaraga Sasameh","Jl. Patianom Nomor 6 Buntok Kode Pos.737112 Kalimantan Tengah Telepon (0525) 21261 Faksimile (0525) ",3,"34 jam",20,NA,12,NA,"081250479890","62","6204",2021-08-12 22:22:58,"Non COVID-19"
"58","RS Umum Batara Siang","  Jl. Sultan Hasanudin 7 Pangkajene",45,"14 jam",17,"14 jam",24,"14 jam","0811415118","73","7310",2021-08-12 22:22:58,"Non COVID-19"
"59","RS Umum Qim","Jl. Urip Sumoharjo, Sambong",4,NA,1,NA,2,NA,"02854495222","33","3325",2021-08-12 22:22:58,"Non COVID-19"
"60","RS Umum Daerah Haji Abdoel Madjid Batoe","Jl. Prof. Dr. Sri Soedewi  Muara Bulian",23,"34 jam",15,"34 jam",58,"34 jam","074321043","15","1504",2021-08-12 22:22:58,"Non COVID-19"
"61","RS Mitra Medika Batang Hari","Jl. Gajah Mada Kel. Teratai Kec. Muara Bulian",9,"10 jam",7,"10 jam",9,"10 jam","074321555","15","1504",2021-08-12 22:22:58,"Non COVID-19"
"62","RS Umum Annisa","Jl. Cikarang Baru No.31 Cikarang Utara Bekasi",54,"18 jam",5,"18 jam",21,"18 jam","081219792097","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"63","Siloam Hospitals Lippo Cikarang","Jl. MH Thamrin Kav.105 Bekasi",11,"15 jam",15,"15 jam",15,"17 jam","02129636911","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"64","RS Umum Daerah Kab.Bekasi"," Jl. Teuku Umar Cibitung,Bekasi",10,NA,14,NA,27,"14 jam","02188374444","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"65","RS Umum Medirossa Cikarang"," Jl. Industri Tegal Gede No.09, Cikarang Selatan Bekasi",NA,NA,NA,NA,14,NA,"081519725561","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"66","RS Umum Kartika Husada","Jl. Raya Mangunjaya No.07 Kp.Rukem,Tambun - Bekasi",1,NA,1,NA,12,"14 jam","081318273414","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"67","RS Amanda Cikarang Selatan","Jl. Raya Serang No. 83 Desa Sukadami Cikarang Selatan Kab. Bekasi",15,NA,6,NA,17,NA,"0218971643","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"68","RS Umum Cibitung Medika","Jl. H. Bosih No.117 Cibitung Kabupaten Bekasi",5,NA,8,NA,17,NA,"02188323444","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"69","RS Mitra Medika Narom","Jl. Desa Jatiwangi Cikedokan Kp. Kamurang",6,"15 jam",8,"15 jam",41,"15 jam","02189983741","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"70","RS Uni Medika Setu Bekasi","Jl. Raya setu No.99 Desa Lubang Buaya Kec. Setu",1,NA,5,NA,14,NA,"085891000553","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"71","RS Umum Kartika Husada Setu","Jl. Raya Burangkeng Desa Burangkeng Rt. 001 Rw.06 Kec. Setu",NA,NA,5,NA,NA,NA,"02182610003","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"72","RS Umum Tiara","Jl. Raya Babelan No. 73 Desa Kebalen Kec. Babelan Kab. Bekasi",3,NA,2,NA,4,NA,"081388871708","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"73","RS Umum Omni Cikarang","Komplek Oasis Kav. 1, Jl. Raya Cikarang Cibarusah, Kelurahan Sukaresmi, Kecamatan Cikarang Selatan.",22,"12 jam",11,"12 jam",16,"12 jam","02129779999","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"74","RS Umum Pinna","Jl. Karang Satria No. 4-5 Bekasi",3,"14 jam",20,NA,12,NA,"0218827554","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"75","RS Umum As-Shofwan","Jl. Raya Karawang - Bekasi km.30 Ds. Bojongsari, Kec. Kedungwaringin.",NA,NA,6,NA,26,"20 jam","02189141890","32","3216",2021-08-12 22:22:59,"Non COVID-19"
"76","RS Umum Daerah dr. H. Marsidi Judono","Jl. Jend. Sudirman Km 5,5 Desa Aik Rayak Tanjungpandan",0,"13 jam",0,"12 jam",24,"12 jam","071922190","19","1902",2021-08-12 22:22:59,"Non COVID-19"
"77","RS Umum Daerah  Kab.Belitung Timur","Jl. Raya Manggar Gantung Desa Padang Kecamatan Manggar",8,"14 jam",22,"12 jam",43,"14 jam","081949244641","19","1906",2021-08-12 22:23:00,"Non COVID-19"
"78","RS Katholik Marianum Halilulik"," Jl. Paroki Roh Kudus, Halilulik Kab.Belu",3,"15 jam",9,"15 jam",33,"15 jam","hotline tidak tersedia","53","5306",2021-08-12 22:23:00,"Non COVID-19"
"79","RS Sito Husada","Jl. KH.Dewantara No.15,Atambua Belu",9,NA,2,NA,24,NA,"hotline tidak tersedia","53","5306",2021-08-12 22:23:00,"Non COVID-19"
"80","RS Umum Daerah  Bengkalis","Jl Kelapapati Tengah No.90, Bengkalis",16,"7 jam",8,"7 jam",18,"7 jam","07667008400","14","1408",2021-08-12 22:23:00,"Non COVID-19"
"81","RS Umum  Permata Hati","Jl Jend. Sudirman No. 37",4,"16 jam",11,NA,19,NA,"081261823811","14","1408",2021-08-12 22:23:00,"Non COVID-19"
"82","RS Hana Charitas Arga Makmur","Jl. Ir. Soekarno No.12 Rama Agung Arga Makmur, Bengkulu Utara",7,NA,10,NA,24,NA,"0737522300","17","1703",2021-08-12 22:23:01,"Non COVID-19"
"83","RS Umum  Aulia Blitar","Jl. Raya Utara No. 3 Kembangarum, Sutojayan, Kab. Blitar",2,NA,15,NA,13,NA,"0342444168","35","3505",2021-08-12 22:23:03,"Non COVID-19"
"84","RS Umum Daerah Srengat Kab. Blitar","Jl. Raya Dandong RT. 02/RW. 03 Kec. Srengat",2,"11 jam",3,"11 jam",0,"11 jam","03425651555","35","3505",2021-08-12 22:23:03,"Non COVID-19"
"85","RS Umum An-Nisaa","Jl. Suparyono Timur No. 1, Bajang Talun Blitar",0,NA,1,NA,1,NA,"0342692999","35","3505",2021-08-12 22:23:03,"Non COVID-19"
"86","RS Umum Daerah Tani dan Nelayan"," Jln. Prof. Dr. Aloei Saboe, Desa Lamu Kec.Tilamuta,Kab.Boalemo",15,"15 jam",32,"15 jam",54,"15 jam","081355563336","75","7501",2021-08-12 22:23:03,"Non COVID-19"
"87","RS Paru Dr. M. Goenawan Partowidigdo","Jl. Raya Puncak KM.83, Po Box 28 Cisarua Bogor 16750",NA,NA,NA,NA,4,"7 menit","02518253630","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"88","RS Umum Daerah Ciawi","Jl. Raya Puncak 479 Ciawi Bogor",7,"4 menit",17,"4 menit",25,"4 menit","082119041792","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"89","RS Umum Daerah Leuwiliang","Jl. Raya Cibeber - Leuwiliang Bogor",34,"4 menit",20,"4 menit",22,"4 menit","0251 8643490","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"90","RS Umum Annisa","JL. Raya Karanggan No. 02 Puspasari, Citeureup Bogor",0,NA,13,NA,6,NA,"02183710769","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"91","RS Umum Bina Husada","Jl. Mayor Oking Jaya Atmaja KM1 No.101 Cibinong - Bogor",10,NA,10,NA,12,NA,"02187911000","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"92","RS Umum Citama","Jl. Raya Pabuaran No. 52 Bogor",8,NA,34,NA,25,NA,"02187985555","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"93","RS Umum Daerah Cileungsi"," Jl. Raya Cileungsi-Jonggol Km.10 Cileungsi Kab. Bogor",0,"25 jam",1,"25 jam",14,"25 jam","02189934668","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"94","RS Umum Karya Bhakti Pratiwi","Jl. Raya Dramaga KM. 7 Bogor",5,"3 menit",27,"3 menit",14,"3 menit","02518626666","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"95","RS EMC Sentul","Jl. MH. Thamrin Kav. 57 Sentul City, Bogor 16810",6,"13 jam",2,"13 jam",0,"13 jam","087700141777","32","3201",2021-08-12 22:23:03,"Non COVID-19"
"96","RS Umum Daerah Dr. R. Sosodoro Djatikoesoemo"," Jl. Veteran No 36, Bojonegoro",23,"15 jam",24,"15 jam",42,"15 jam","08113224972","35","3522",2021-08-12 22:23:03,"Non COVID-19"
"97","RS Umum Daerah Sumberrejo","Jl. Raya No. 231 Sumberrejo, Bojonegoro",2,"13 jam",0,"13 jam",27,"13 jam","0353331530","35","3522",2021-08-12 22:23:03,"Non COVID-19"
"98","RS Umum Daerah Tombulilato","  Ds.Inomata jln.Trans Sulawesi Pantai selatan Km. 70",3,"19 jam",2,"45 jam",30,"45 jam","085394107787","75","7504",2021-08-12 22:23:04,"Non COVID-19"
"99","RS Umum  Karanggede Sisma Medika","Jl. Raya Karanggede - Solo KM.1, Boyolali",5,NA,10,NA,23,NA,"0298610600","33","3309",2021-08-12 22:23:05,"Non COVID-19"
"100","RS Umum Daerah Simo","    Jl. Kebon Ijo Ds.Simo Kec.Simo, Boyolali",3,"23 menit",12,"23 menit",23,"23 menit","02763294719","33","3309",2021-08-12 22:23:05,"Non COVID-19"
"101","RS Umum Hidayah Boyolali","Kragilan, Mojosongo, Boyolali",10,"1 jam",18,"1 jam",10,"1 jam","0276324614","33","3309",2021-08-12 22:23:05,"Non COVID-19"
"102","RS Umum Islam Banyubening Boyolali ","Dukuh Ngargorejo,Desa Ngargorejo Kec.Ngemplak",13,"10 jam",12,"10 jam",30,"10 jam","0276320088","33","3309",2021-08-12 22:23:05,"Non COVID-19"
"103","RS Umum Islam Boyolali","Jl. Raya Boyolali Klaten Kemiri Mojosongo",8,NA,12,NA,19,NA,"(0276) 3282158","33","3309",2021-08-12 22:23:05,"Non COVID-19"
"104","RS Umum Daerah Brebes","Jl. Jend.Sudirman No.181, Brebes",14,"13 jam",12,"13 jam",64,"13 jam","0283-671431","33","3329",2021-08-12 22:23:05,"Non COVID-19"
"105","RS Umum Daerah Tangguwisia","Jl. Singaraja-Seriri, Desa Tangguwisia, Kecamatan Seririt, Kabupaten Buleleng, Provinsi Bali",2,NA,0,NA,12,NA,"03623361387","51","5108",2021-08-12 22:23:05,"Non COVID-19"
"106","RS Giri Emas","Jl. Raya Sangsit, Desa Giri Emas Kecamatan Sawan Kabupaten Buleleng",2,NA,4,NA,20,"37 jam","03623303884","51","5108",2021-08-12 22:23:05,"Non COVID-19"
"107","RS Umum Daerah H. Hanafie","Jl. Teuku Umar 88  Muara Bungo",17,"43 jam",17,"43 jam",33,"43 jam","085378607477","15","1509",2021-08-12 22:23:06,"Non COVID-19"
"108","RS Jabal Rahmah Medika","Jl. RM Thaher RT. 015 RW. 005 Kel. Cadika Kec. Rimbo Tengah",2,"12 jam",4,"12 jam",16,"12 jam","082180320002","15","1509",2021-08-12 22:23:06,"Non COVID-19"
"109","RS Umum Daerah Kabupaten Buton Selatan"," JL GAJAH MADA Kel. Laompo Kec. Batauga Kab. Buton Selatan Telp/Fax.(0402)",NA,NA,2,"13 jam",21,"13 jam","085340425378","74","7415",2021-08-12 22:23:06,"Non COVID-19"
"110","RS Umum Permata Bunda","Jl. Mr. Iwa Kusumasomantri No.1 Ciamis",0,NA,7,NA,13,NA,"0265771650","32","3207",2021-08-12 22:23:07,"Non COVID-19"
"111","RS Umum Al-Arif"," Jl. R.E. Martadinata No.158 B, Baregbeg - Ciamis",7,NA,11,NA,24,NA,"0265777391","32","3207",2021-08-12 22:23:07,"Non COVID-19"
"112","RS Umum Dadi Keluarga Ciamis","Jl. RE. Martadinata Nomor 333-335 Baregbeg, Ciamis",6,"14 jam",12,"14 jam",23,"14 jam","02652750777","32","3207",2021-08-12 22:23:07,"Non COVID-19"
"113","RS Khusus Bedah RSOP Ciamis","Jl. Raya Ciamis Banjar KM 7 No. 341 RT 16 RW 06 Desa Cijeungjing Kec Cijeungjing",5,NA,4,NA,14,NA,"02657600450","32","3207",2021-08-12 22:23:07,"Non COVID-19"
"114","RS Umum Daerah Cimacan","Jl. Raya Cimacan No.17, Cianjur",7,"4 menit",17,"4 menit",44,"4 menit","02632950771","32","3203",2021-08-12 22:23:07,"Non COVID-19"
"115","RS Umum Daerah Cilacap","Jl. Gatot Subroto 28 Cilacap RT 04 / RW O5",13,"22 jam",38,"22 jam",19,"22 jam","0282533010","33","3301",2021-08-12 22:23:07,"Non COVID-19"
"116","RS Umum Islam Fatimah","Jl. Ir.H.Juanda No.20 Cilacap",12,"24 menit",9,"24 menit",7,"24 menit","0282542396","33","3301",2021-08-12 22:23:07,"Non COVID-19"
"117","RS Umum Daerah Waled"," Jl. Prabu Kiansantang No. 4 Waled, Cirebon",23,"6 menit",23,"6 menit",107,"12 jam","0231661275","32","3209",2021-08-12 22:23:08,"Non COVID-19"
"118","RS Pertamina Cirebon","Jl. Patra Raya Klayan No 1 Cirebon",1,"15 jam",0,"15 jam",6,NA,"08112433338","32","3209",2021-08-12 22:23:08,"Non COVID-19"
"119","RS Umum Mitra Plumbon","Jl. Raya Plumbon Km.11 Cirebon",22,NA,43,NA,30,NA,"0231323100","32","3209",2021-08-12 22:23:08,"Non COVID-19"
"120","RS Umum Permata Cirebon","Jl. Tuparev No.117 Cirebon",12,NA,39,NA,24,NA,"02318338877","32","3209",2021-08-12 22:23:08,"Non COVID-19"
"121","RS Umum Sumber Waras","Jl. Urip Sumoharjo No.5 Ciwaringin, Kab. Cirebon",7,"1 menit",15,"1 menit",6,"1 menit","0231341079","32","3209",2021-08-12 22:23:08,"Non COVID-19"
"122","RS Jantung Hasna Medika","Jl. Raden Gilap No 8 Palimanan, Kabupaten Cirebon",7,"kurang dari 1 menit",18,"kurang dari 1 menit",7,"kurang dari 1 menit","0231343405","32","3209",2021-08-12 22:23:08,"Non COVID-19"
"123","RS Umum Daerah Sidikalang","Jl Rumah Sakit No 19, Sidikalang",9,"13 jam",20,"10 jam",39,"13 jam","0627000022442","12","1210",2021-08-12 22:23:09,"Non COVID-19"
"124","RS Umum Dearah Deli Serdang","Jl. Thamrin Lubuk Pakam",10,"17 jam",9,"13 jam",42,"17 jam","085297825601","12","1212",2021-08-12 22:23:11,"Non COVID-19"
"125","RS Umum Sembiring Deli Tua","Jl. Besar No.77, Deli Tua",0,"12 jam",25,"12 jam",15,"12 jam","081376490201","12","1212",2021-08-12 22:23:11,"Non COVID-19"
"126","RS Umum Rahmad Hidayah","Jl Limau Manis Pasar XIII No.61, Desa Limau Manis, Tanjung Morawa",3,"36 jam",22,"36 jam",50,"36 jam","hotline tidak tersedia","12","1212",2021-08-12 22:23:11,"Non COVID-19"
"127","RS Umum Yoshua","Jl. Medan Lubuk Pakam N0. 70",5,"14 jam",5,"14 jam",5,"14 jam","hotline tidak tersedia","12","1212",2021-08-12 22:23:11,"Non COVID-19"
"128","RS Umum Pancur Batu","Jl. Jamin Ginting KM. 17 Desa Tengah Kec. Pancur Batu",4,NA,11,NA,9,NA,"081376257161","12","1212",2021-08-12 22:23:11,"Non COVID-19"
"129","RS Grandmed ","Jl Medan km. 25 no. 66 Lubuk Pakam",12,"13 jam",8,"13 jam",9,"13 jam","085358431190","12","1212",2021-08-12 22:23:11,"Non COVID-19"
"130","RS Umum Daerah Sunan Kalijaga"," Jl. Sultan Fatah No. 669/50,Demak",34,NA,0,NA,43,NA,"0291685018","33","3321",2021-08-12 22:23:11,"Non COVID-19"
"131","RS Umum Islam NU Demak","Jl. Jogoloyo No.9, Kec. Wonosalam, Demak",4,"21 jam",10,"21 jam",16,"21 jam","02916904000","33","3321",2021-08-12 22:23:11,"Non COVID-19"
