"","hospital","address","bed_availability","queue","last_update","tlp_number","province","district","scraped_at","bed_type"
"65","RS Umum Ananda Purwokerto","Jl. Pemuda No. 30 Purwokerto","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","3 jam","0281636417","33","3302",2021-08-23 00:08:55,"COVID-19"
"66","RS Umum An Ni'mah","Jalan Raya Klapagading Kulon Rt 01 Rw 14 Kec Wangon - Banyumas","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","3 jam","02815700170","33","3302",2021-08-23 00:08:55,"COVID-19"
"67","RS Umum Santa Elisabeth Purwokerto","Jl. dr. Angka No. 40 Purwokerto","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","4 jam","0281625857","33","3302",2021-08-23 00:08:55,"COVID-19"
"68","RS Umum Wiradadi Husada","Jl. Menteri Supeno No. 25, Sokaraja-Banyumas","Tersedia 16 bed kosong IGD","tanpa antrian pasien.","7 jam","02816846225","33","3302",2021-08-23 00:08:55,"COVID-19"
"69","RS Hermina Purwokerto","Jl. Yos Sudarso RT 003 RW 001 Karanglewas Lor Kec.Purwokerto Barat, Kab. Banyumas","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","11 jam","02817773333","33","3302",2021-08-23 00:08:55,"COVID-19"
"70","RS umum Daerah Banyumas","Jl. Rumah Sakit No.1 Banyumas","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","14 jam","0281796031","33","3302",2021-08-23 00:08:55,"COVID-19"
"71","RS Ibu dan Anak Amanah","Jl Raya Kebokura No.37 Kec Sumpiuh Kab Banyumas","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","14 jam","0282497548","33","3302",2021-08-23 00:08:55,"COVID-19"
"72","RS Umum Daerah Prof Dr. Margono Soekarjo"," Jl. Dr Gumbreg No. 1 Purwokerto","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","15 jam","0281632708","33","3302",2021-08-23 00:08:55,"COVID-19"
"73","RS Umum Sinar Kasih","Jl. Martadireja II Purwokerto","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","15 jam","0281638370","33","3302",2021-08-23 00:08:55,"COVID-19"
"74","RS Umum Dadi Keluarga","Jl. Perumnas Teluk No. 42 Kel. Teluk Kec. Purwokerto Selatan","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","16 jam","02816847366","33","3302",2021-08-23 00:08:55,"COVID-19"
"75","RS Umum Hidayah Purwokerto","Jl. Supriyadi No. 22 Purwokerto","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","17 jam","0281627010","33","3302",2021-08-23 00:08:55,"COVID-19"
"76","RS Umum Siaga Medika Banyumas","Jl. Pramuka No. 55 Banyumas","Tersedia 9 bed kosong IGD","tanpa antrian pasien.","17 jam","0281796100","33","3302",2021-08-23 00:08:55,"COVID-19"
"77","RS Umum Tk. III Wijayakusuma","Jl. Prof.Dr. HR Bunyamin Purwokerto","Bed IGD Penuh!","tanpa antrian pasien.","3 jam","081390972129","33","3302",2021-08-23 00:08:55,"COVID-19"
"78","RS Ibu dan Anak Bunda Arif","Jl. Jatiwinangun No. 16 Purwokerto Kab.Banyumas","Bed IGD Penuh!","tanpa antrian pasien.","14 jam","0281636555","33","3302",2021-08-23 00:08:55,"COVID-19"
"79","RS Umum Bunda","Jl. Pramuka No. 249 Purwokerto","Bed IGD Penuh!","tanpa antrian pasien.","17 jam","0281635424","33","3302",2021-08-23 00:08:55,"COVID-19"
"80","RS Islam Fatimah","Jl. Jember nomor 25, Kelurahan Kalirejo, Kab. Banyuwangi","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","44 menit","0333421451","35","3510",2021-08-23 00:08:55,"COVID-19"
"81","RS Al Huda ","Jl. Raya Gambiran No. 225, Desa Gambiran, Kec. Gambiran, Kab. Banyuwangi","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","1 jam","0333842034","35","3510",2021-08-23 00:08:55,"COVID-19"
"82","RS Graha Medika","Jl. Raya Yosomulyo, Gambiran, Banyuwangi","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","6 jam","0333848999","35","3510",2021-08-23 00:08:55,"COVID-19"
"83","RS Umum Daerah Blambangan","  Jl. Letkol Istiqlah No. 49 Banyuwangi","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","6 jam","0333421118 ","35","3510",2021-08-23 00:08:55,"COVID-19"
"84","RS Umum Bhakti Husada","Jl. Krikilan-Glenmore Dusun Krajan, Tegalharjo","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","15 jam","0333821118","35","3510",2021-08-23 00:08:55,"COVID-19"
"85","RS Nahdlatul Ulama Banyuwangi","Jl. Raya Mangir No. 9, Kec. Rogojampi, Banyuwangi","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","16 jam","0333632965","35","3510",2021-08-23 00:08:55,"COVID-19"
"86","RS Umum Daerah Genteng","   Jl. Hasanudin No.98, Genteng, Banyuwangi","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","17 jam","08113439904","35","3510",2021-08-23 00:08:55,"COVID-19"
"87","RS Umum Bakti Mulia Banyuwangi","Jl. Brawijaya No. 46-47 Banyuwangi","Bed IGD Penuh!","tanpa antrian pasien.","16 jam","0333590001","35","3510",2021-08-23 00:08:55,"COVID-19"
"88","RS Umum Daerah  H. Abdul Aziz Marabahan","  Jl. Jend Sudirman No.10, RT. 13 RW. 001, Marabahan","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","15 jam","05114799118","63","6304",2021-08-23 00:08:56,"COVID-19"
"89","RS Umum Qim","Jl. Urip Sumoharjo, Sambong","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","29 menit","02854495222","33","3325",2021-08-23 00:08:57,"COVID-19"
"90","RS Umum Daerah Kab. Batang","  Jl. Dr Sutomo No. 42 Batang","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","56 menit","02854493035","33","3325",2021-08-23 00:08:57,"COVID-19"
"91","RS Umum Daerah Limpung","Jl. Dr. Soetomo No. 17A Limpung 51271","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","7 jam","02854468362","33","3325",2021-08-23 00:08:57,"COVID-19"
"92","RS Umum Daerah Haji Abdoel Madjid Batoe","Jl. Prof. Dr. Sri Soedewi  Muara Bulian","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","14 jam","074321043","15","1504",2021-08-23 00:08:58,"COVID-19"
"93","RS Mitra Medika Batang Hari","Jl. Gajah Mada Kel. Teratai Kec. Muara Bulian","Bed IGD Penuh!","tanpa antrian pasien.","14 jam","074321555","15","1504",2021-08-23 00:08:58,"COVID-19"
"94","RS Umum Cibitung Medika","Jl. H. Bosih No.117 Cibitung Kabupaten Bekasi","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","40 menit","02188323444","32","3216",2021-08-23 00:08:59,"COVID-19"
"95","RS Umum Sentra Medika","Jl. Raya Industri Pasirgombong Cikarang ","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","1 jam","085886663754","32","3216",2021-08-23 00:08:59,"COVID-19"
"96","RS Umum Mitra Keluarga Cikarang","Jl. Induistri Raya 100, Lemah Abang","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","1 jam","02189840500","32","3216",2021-08-23 00:08:59,"COVID-19"
"97","RS Umum Tiara","Jl. Raya Babelan No. 73 Desa Kebalen Kec. Babelan Kab. Bekasi","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","3 jam","081388871708","32","3216",2021-08-23 00:08:59,"COVID-19"
"98","RS Umum Daerah Kab.Bekasi"," Jl. Teuku Umar Cibitung,Bekasi","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","3 jam","02188374444","32","3216",2021-08-23 00:08:59,"COVID-19"
"99","RS Umum Kartika Husada","Jl. Raya Mangunjaya No.07 Kp.Rukem,Tambun - Bekasi","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","3 jam","081318273414","32","3216",2021-08-23 00:08:59,"COVID-19"
"100","RS Umum Bunda Mulia","Jl. Imam Bonjol No. 80","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","4 jam","081232618989","32","3216",2021-08-23 00:08:59,"COVID-19"
"101","RS Umum Karya Medika","Jl. Imam Bonjol No. 9B","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","4 jam","0218900190","32","3216",2021-08-23 00:08:59,"COVID-19"
"102","RS Umum Karya Medika II"," Jl. Sultan Hasanuddin No.63 Kec. Tambun Selatan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","4 jam","08111990020","32","3216",2021-08-23 00:08:59,"COVID-19"
"103","RS Umum Bhakti Husada","Jl. R. E. Martadinata (By Pass) Cikarang - Bekasi","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","4 jam","0218900530","32","3216",2021-08-23 00:08:59,"COVID-19"
"104","RS Umum Permata Keluarga Lippo Cikarang","JL. M.H Thamrin Kav 129 Lippo Cikarang, Bekasi 17599","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","4 jam","081295391912","32","3216",2021-08-23 00:08:59,"COVID-19"
"105","RS Umum Medirossa Cikarang"," Jl. Industri Tegal Gede No.09, Cikarang Selatan Bekasi","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","7 jam","081519725561","32","3216",2021-08-23 00:08:59,"COVID-19"
"106","RS Umum Harapan Keluarga Jababeka","Jl. Kasuari Raya Kav. IA & 1B Cikarang Baru","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","10 jam","087784755791","32","3216",2021-08-23 00:08:59,"COVID-19"
"107","RS Umum Medirossa 2","Jl. Raya Cibarusah, Ds Sindang Mulya No. 5 Cibarusah","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","10 jam","081398667062","32","3216",2021-08-23 00:08:59,"COVID-19"
"108","RS Umum Metro Hospitals","Jl.Anggrek I B2/2 RT 01/11 Kec Mekar Mukti","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","10 jam","02189835223","32","3216",2021-08-23 00:08:59,"COVID-19"
"109","RS Umum Omni Cikarang","Komplek Oasis Kav. 1, Jl. Raya Cikarang Cibarusah, Kelurahan Sukaresmi, Kecamatan Cikarang Selatan.","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","15 jam","02129779999","32","3216",2021-08-23 00:08:59,"COVID-19"
"110","RS Umum Annisa","Jl. Cikarang Baru No.31 Cikarang Utara Bekasi","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","15 jam","081219792097","32","3216",2021-08-23 00:08:59,"COVID-19"
"111","RS Umum Hermina Grand Wisata","Jl. Festival Boulevard Blok J A1 No.1 Lambang Sari Tambun Selatan Bekasi","Tersedia 12 bed kosong IGD","tanpa antrian pasien.","15 jam","02182651212","32","3216",2021-08-23 00:08:59,"COVID-19"
"112","Siloam Hospitals Lippo Cikarang","Jl. MH Thamrin Kav.105 Bekasi","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","15 jam","02129636911","32","3216",2021-08-23 00:08:59,"COVID-19"
"113","RS Hermina Metland ","Perumahan Metland Cibitung","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","16 jam","hotline tidak tersedia","32","3216",2021-08-23 00:08:59,"COVID-19"
"114","RS Amanda Cikarang Selatan","Jl. Raya Serang No. 83 Desa Sukadami Cikarang Selatan Kab. Bekasi","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","16 jam","0218971643","32","3216",2021-08-23 00:08:59,"COVID-19"
"115","RS Umum Ridhoka Salma","Jl. Raya Imam Bonjol No 7 Cikarang Barat","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","18 jam","02189116527","32","3216",2021-08-23 00:08:59,"COVID-19"
"116","RS Uni Medika Setu Bekasi","Jl. Raya setu No.99 Desa Lubang Buaya Kec. Setu","Bed IGD Penuh!","tanpa antrian pasien.","31 menit","085891000553","32","3216",2021-08-23 00:08:59,"COVID-19"
"117","RS Ananda Babelan","Jl. Raya Babelan KM. 9.6 RT/RW 002/001 Kelurahan Kebalen Kecamatan Babelan","Bed IGD Penuh!","tanpa antrian pasien.","4 jam","082114950240","32","3216",2021-08-23 00:08:59,"COVID-19"
"118","RS Umum Tarumajaya","Jalan Raya Tarumajaya No. 1B, Pantai Makmur Tarumajaya, Bekasi","Bed IGD Penuh!","tanpa antrian pasien.","15 jam","02188992337","32","3216",2021-08-23 00:08:59,"COVID-19"
"119","RS Umum Pinna","Jl. Karang Satria No. 4-5 Bekasi","Bed IGD Penuh!","tanpa antrian pasien.","16 jam","0218827554","32","3216",2021-08-23 00:08:59,"COVID-19"
"120","RS Umum Daerah dr. H. Marsidi Judono","Jl. Jend. Sudirman Km 5,5 Desa Aik Rayak Tanjungpandan","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","14 jam","071922190","19","1902",2021-08-23 00:08:59,"COVID-19"
