"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"19","RS Umum Daerah Depati Bahrin","Jl. Jend Sudirman No.195, Kel.Parit Padang Kec.Sungailiat Propinsi Kepulauan Bangka Belitung",17,"1 menit",12,"1 menit",31,"1 menit","071792489","19","1901",2021-07-25 22:16:58,"Non COVID-19"
"20","RS Umum Daerah Kabupaten Bangli"," Jl. Brigjen Ngurah Rai No. 99X Bangli",10,"20 jam",16,NA,32,NA,"036691521","51","5106",2021-07-25 22:16:58,"Non COVID-19"
"21","RS Jiwa Provinsi Bali","Jl.Kusuma Yudha No. 29 Bangli",1,NA,25,NA,118,NA,"036691073","51","5106",2021-07-25 22:16:58,"Non COVID-19"
"22","RS Umum Daerah Ratu Zalecha","Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan",27,NA,48,NA,57,NA,"05114789455","63","6303",2021-07-25 22:16:58,"Non COVID-19"
"23","RS Umum Emmanuel","Jl. Raya Purwareja Klampok - Banjarnegara",13,NA,9,NA,42,NA,"(0286) 479030","33","3304",2021-07-25 22:16:58,"Non COVID-19"
"24","RS Umum Daerah Prof. Dr. H. Anwar Makkatutu","Jl. Teratai No. 20 Kel. Pallantikang, Kec. Bantaeng",14,NA,10,NA,58,NA,"hotline tidak tersedia","73","7303",2021-07-25 22:16:59,"Non COVID-19"
"25","RS Umum Daerah Panembahan Senopati","Jl Dr. Wahidin Sudiro Husodo Bantul",4,NA,8,NA,84,NA,"hotline tidak tersedia","34","3402",2021-07-25 22:16:59,"Non COVID-19"
"26","RS Umum Santa Elisabeth","Ganjuran Sumbermulyo Bambanglipuro",1,NA,8,NA,NA,NA,"02746460400","34","3402",2021-07-25 22:16:59,"Non COVID-19"
"27","RS Ibu Anak Ummi Khasanah","Jl Pemuda Ds Gandekan Bantul",2,"16 menit",0,"16 menit",1,"16 menit","0274367638","34","3402",2021-07-25 22:16:59,"Non COVID-19"
"28","RS Umum Nur Hidayah","Jl Imogiri Timur Km. 11,5 Trimulyo Jetis Bantul",2,"14 menit",4,"14 menit",23,"14 menit","085100472941","34","3402",2021-07-25 22:16:59,"Non COVID-19"
"29","RS Umum Griya Mahardika Yogyakarta","jl. Parangtritis KM 4.5 gang Wijayakusuma No 212 Yogyakarta",7,"1 jam",2,"1 jam",1,"1 jam","0274445024","34","3402",2021-07-25 22:16:59,"Non COVID-19"
"30","RS Bunda Medika Jakabaring","Jl. Gubernur H.A. Bastari Jakabaring Desa Sungai Kedukan Kecamatan Rambutan",12,NA,17,NA,34,NA,"085384532735","16","1607",2021-07-25 22:16:59,"Non COVID-19"
"31","RS Umum Pusat Dr. Rivai Abdullah","Jl. Sungai Kundur Kelurahan Mariana Kec. Banyuasin I ",8,"32 menit",10,"32 menit",48,"32 menit","07117537201","16","1607",2021-07-25 22:16:59,"Non COVID-19"
"32","RS Khusus Bedah Jatiwinangun"," Jl. Jatiwinangun No.54, Purwokerto",3,NA,4,NA,11,NA,"0281632632","33","3302",2021-07-25 22:16:59,"Non COVID-19"
"33","RS Ibu dan Anak Amanah","Jl Raya Kebokura No.37 Kec Sumpiuh Kab Banyumas",5,"3 menit",6,"3 menit",1,"3 menit","0282497548","33","3302",2021-07-25 22:16:59,"Non COVID-19"
"34","RS Umum Daerah Ajibarang","    Jl. Raya Pancasan No.1,Ajibarang Banyumas",10,"14 jam",12,"14 jam",43,"14 jam","02816570004","33","3302",2021-07-25 22:16:59,"Non COVID-19"
"35","RS Umum Bhakti Husada","Jl. Krikilan-Glenmore Dusun Krajan, Tegalharjo",0,NA,0,"35 jam",3,NA,"0333821118","35","3510",2021-07-25 22:16:59,"Non COVID-19"
"36","RS Islam Fatimah","Jl. Jember nomor 25, Kelurahan Kalirejo, Kab. Banyuwangi",4,"36 jam",14,"36 jam",26,NA,"0333421451","35","3510",2021-07-25 22:16:59,"Non COVID-19"
"37","RS Yasmin","Jl. Letkol Istiqlah Nomor 80-84 Banyuwangi",0,"39 jam",1,"39 jam",9,"39 jam","0333424671","35","3510",2021-07-25 22:16:59,"Non COVID-19"
"38","RS Nahdlatul Ulama Banyuwangi","Jl. Raya Mangir No. 9, Kec. Rogojampi, Banyuwangi",NA,NA,5,"36 jam",14,"36 jam","0333632965","35","3510",2021-07-25 22:16:59,"Non COVID-19"
"39","RS Al Huda ","Jl. Raya Gambiran No. 225, Desa Gambiran, Kec. Gambiran, Kab. Banyuwangi",6,"15 jam",7,NA,10,NA,"0333842034","35","3510",2021-07-25 22:16:59,"Non COVID-19"
"40","RS Umum PKU Muhammadiyah Rogojampi","Jalan Diponegoro Nomor 20 Rogojampi, Kab. Banyuwangi",9,NA,18,NA,30,NA,"0333631149","35","3510",2021-07-25 22:16:59,"Non COVID-19"
"41","RS Al-Rohmah Banyuwangi","Jl. A. Yani No. 37 Jajag Gambiran, Banyuwangi",5,NA,14,"9 jam",18,NA,"0333397267","35","3510",2021-07-25 22:16:59,"Non COVID-19"
"42","RS Umum Batara Siang","  Jl. Sultan Hasanudin 7 Pangkajene",58,"38 jam",23,"38 jam",28,"38 jam","0811415118","73","7310",2021-07-25 22:17:00,"Non COVID-19"
"43","RS Umum Qim","Jl. Urip Sumoharjo, Sambong",3,NA,5,NA,10,NA,"02854495222","33","3325",2021-07-25 22:17:00,"Non COVID-19"
"44","RS Umum Daerah Limpung","Jl. Dr. Soetomo No. 17A Limpung 51271",1,NA,NA,NA,NA,NA,"02854468362","33","3325",2021-07-25 22:17:00,"Non COVID-19"
"45","RS Umum Daerah Haji Abdoel Madjid Batoe","Jl. Prof. Dr. Sri Soedewi  Muara Bulian",13,"37 jam",11,"37 jam",48,"37 jam","074321043","15","1504",2021-07-25 22:17:00,"Non COVID-19"
"46","RS Umum Annisa","Jl. Cikarang Baru No.31 Cikarang Utara Bekasi",52,"36 jam",10,"36 jam",22,"36 jam","081219792097","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"47","Siloam Hospitals Lippo Cikarang","Jl. MH Thamrin Kav.105 Bekasi",14,"15 jam",16,"15 jam",18,"15 jam","02129636911","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"48","RS Umum Sentra Medika","Jl. Raya Industri Pasirgombong Cikarang ",16,"34 jam",15,"34 jam",37,"34 jam","085886663754","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"49","RS Umum Daerah Kab.Bekasi"," Jl. Teuku Umar Cibitung,Bekasi",NA,NA,5,NA,15,"12 jam","02188374444","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"50","RS Amanda Cikarang Selatan","Jl. Raya Serang No. 83 Desa Sukadami Cikarang Selatan Kab. Bekasi",10,"14 jam",6,NA,18,"14 jam","0218971643","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"51","RS Umum Cibitung Medika","Jl. H. Bosih No.117 Cibitung Kabupaten Bekasi",11,NA,18,NA,19,NA,"02188323444","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"52","RS Mitra Medika Narom","Jl. Desa Jatiwangi Cikedokan Kp. Kamurang",6,"39 jam",7,"39 jam",26,"39 jam","02189983741","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"53","RS Uni Medika Setu Bekasi","Jl. Raya setu No.99 Desa Lubang Buaya Kec. Setu",5,NA,8,NA,17,NA,"085891000553","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"54","RS Umum Kartika Husada Setu","Jl. Raya Burangkeng Desa Burangkeng Rt. 001 Rw.06 Kec. Setu",11,NA,2,NA,29,NA,"02182610003","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"55","RS Umum Tiara","Jl. Raya Babelan No. 73 Desa Kebalen Kec. Babelan Kab. Bekasi",0,NA,0,NA,0,NA,"081388871708","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"56","RS Umum Omni Cikarang","Komplek Oasis Kav. 1, Jl. Raya Cikarang Cibarusah, Kelurahan Sukaresmi, Kecamatan Cikarang Selatan.",21,"12 jam",11,"12 jam",16,"12 jam","02129779999","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"57","RS Umum Pinna","Jl. Karang Satria No. 4-5 Bekasi",2,"37 jam",18,NA,4,NA,"0218827554","32","3216",2021-07-25 22:17:01,"Non COVID-19"
"58","RS Umum Daerah  Kab.Belitung Timur","Jl. Raya Manggar Gantung Desa Padang Kecamatan Manggar",6,"35 jam",20,"35 jam",41,"35 jam","081949244641","19","1906",2021-07-25 22:17:01,"Non COVID-19"
"59","RS Umum Daerah MGR Gabriel Manek"," Jl. Dr Sutomo No.2 Atambua",23,"38 jam",26,"38 jam",48,"38 jam","082147511229","53","5306",2021-07-25 22:17:02,"Non COVID-19"
"60","RS Katholik Marianum Halilulik"," Jl. Paroki Roh Kudus, Halilulik Kab.Belu",3,"38 jam",7,"38 jam",27,"38 jam","hotline tidak tersedia","53","5306",2021-07-25 22:17:02,"Non COVID-19"
"61","RS Sito Husada","Jl. KH.Dewantara No.15,Atambua Belu",7,NA,9,NA,28,NA,"hotline tidak tersedia","53","5306",2021-07-25 22:17:02,"Non COVID-19"
"62","RS Umum Daerah  Bengkalis","Jl Kelapapati Tengah No.90, Bengkalis",20,"kurang dari 1 menit",13,"kurang dari 1 menit",18,"kurang dari 1 menit","07667008400","14","1408",2021-07-25 22:17:02,"Non COVID-19"
"63","RS Umum  Permata Hati","Jl Jend. Sudirman No. 37",6,"16 jam",7,NA,17,NA,"081261823811","14","1408",2021-07-25 22:17:02,"Non COVID-19"
"64","RS Umum  Aulia Blitar","Jl. Raya Utara No. 3 Kembangarum, Sutojayan, Kab. Blitar",2,NA,14,NA,12,NA,"0342444168","35","3505",2021-07-25 22:17:03,"Non COVID-19"
"65","RS Umum Daerah Srengat Kab. Blitar","Jl. Raya Dandong RT. 02/RW. 03 Kec. Srengat",5,"14 jam",11,"14 jam",40,"14 jam","03425651555","35","3505",2021-07-25 22:17:03,"Non COVID-19"
"66","RS Umum An-Nisaa","Jl. Suparyono Timur No. 1, Bajang Talun Blitar",NA,NA,1,NA,NA,NA,"0342692999","35","3505",2021-07-25 22:17:03,"Non COVID-19"
"67","RS Paru Dr. M. Goenawan Partowidigdo","Jl. Raya Puncak KM.83, Po Box 28 Cisarua Bogor 16750",NA,NA,NA,NA,1,"13 menit","02518253630","32","3201",2021-07-25 22:17:04,"Non COVID-19"
"68","RS Umum Daerah Ciawi","Jl. Raya Puncak 479 Ciawi Bogor",12,"1 menit",19,"1 menit",23,"1 menit","082119041792","32","3201",2021-07-25 22:17:04,"Non COVID-19"
"69","RS Umum Daerah Leuwiliang","Jl. Raya Cibeber - Leuwiliang Bogor",33,"kurang dari 1 menit",32,"kurang dari 1 menit",41,"kurang dari 1 menit","0251 8643490","32","3201",2021-07-25 22:17:04,"Non COVID-19"
"70","RS Umum Annisa","JL. Raya Karanggan No. 02 Puspasari, Citeureup Bogor",2,NA,19,NA,9,NA,"02183710769","32","3201",2021-07-25 22:17:04,"Non COVID-19"
"71","RS Umum Bina Husada","Jl. Mayor Oking Jaya Atmaja KM1 No.101 Cibinong - Bogor",11,NA,8,NA,NA,NA,"02187911000","32","3201",2021-07-25 22:17:04,"Non COVID-19"
"72","RS Umum Daerah Cileungsi"," Jl. Raya Cileungsi-Jonggol Km.10 Cileungsi Kab. Bogor",1,"17 menit",5,"17 menit",2,"17 menit","02189934668","32","3201",2021-07-25 22:17:04,"Non COVID-19"
"73","RS Umum Karya Bhakti Pratiwi","Jl. Raya Dramaga KM. 7 Bogor",7,"57 menit",28,"57 menit",23,"57 menit","02518626666","32","3201",2021-07-25 22:17:04,"Non COVID-19"
"74","RS Umum Dr. Muhamad Hassan Toto","Jl. Sardjio No. 1, Semplak Kec. Kemang",6,"35 jam",8,"35 jam",18,"35 jam","02517535976","32","3201",2021-07-25 22:17:04,"Non COVID-19"
"75","RS Umum Daerah Dr. R. Sosodoro Djatikoesoemo"," Jl. Veteran No 36, Bojonegoro",28,"38 jam",26,"38 jam",74,"38 jam","08113224972","35","3522",2021-07-25 22:17:04,"Non COVID-19"
"76","RS Umum Daerah Sumberrejo","Jl. Raya No. 231 Sumberrejo, Bojonegoro",2,"35 jam",0,"35 jam",33,"35 jam","0353331530","35","3522",2021-07-25 22:17:04,"Non COVID-19"
"77","RS Umum Daerah Tombulilato","  Ds.Inomata jln.Trans Sulawesi Pantai selatan Km. 70",0,"12 jam",0,"12 jam",28,"12 jam","085394107787","75","7504",2021-07-25 22:17:05,"Non COVID-19"
"78","RS Umum  Karanggede Sisma Medika","Jl. Raya Karanggede - Solo KM.1, Boyolali",6,NA,13,NA,31,NA,"0298610600","33","3309",2021-07-25 22:17:05,"Non COVID-19"
"79","RS Umum Daerah Simo","    Jl. Kebon Ijo Ds.Simo Kec.Simo, Boyolali",5,"17 menit",18,"17 menit",27,"17 menit","02763294719","33","3309",2021-07-25 22:17:05,"Non COVID-19"
"80","RS Umum Hidayah Boyolali","Kragilan, Mojosongo, Boyolali",16,"1 jam",15,"1 jam",29,"1 jam","0276324614","33","3309",2021-07-25 22:17:05,"Non COVID-19"
"81","RS Umum Daerah Brebes","Jl. Jend.Sudirman No.181, Brebes",14,"37 jam",12,"37 jam",81,"36 jam","0283-671431","33","3329",2021-07-25 22:17:05,"Non COVID-19"
"82","RS Umum Daerah Kab. Buleleng","     Jl. Ngurah Rai 30 Singaraja",4,"14 jam",18,"14 jam",31,"14 jam","036222046","51","5108",2021-07-25 22:17:06,"Non COVID-19"
"83","RS Giri Emas","Jl. Raya Sangsit, Desa Giri Emas Kecamatan Sawan Kabupaten Buleleng",NA,NA,NA,NA,33,"35 jam","03623303884","51","5108",2021-07-25 22:17:06,"Non COVID-19"
"84","RS Jabal Rahmah Medika","Jl. RM Thaher RT. 015 RW. 005 Kel. Cadika Kec. Rimbo Tengah",5,"34 jam",0,"34 jam",13,"34 jam","082180320002","15","1509",2021-07-25 22:17:06,"Non COVID-19"
"85","RS Umum Daerah Kabupaten Buton Selatan"," JL GAJAH MADA Kel. Laompo Kec. Batauga Kab. Buton Selatan Telp/Fax.(0402)",NA,NA,0,"9 jam",14,"9 jam","085340425378","74","7415",2021-07-25 22:17:07,"Non COVID-19"
"86","RS Umum Permata Bunda","Jl. Mr. Iwa Kusumasomantri No.1 Ciamis",1,NA,6,NA,12,NA,"0265771650","32","3207",2021-07-25 22:17:07,"Non COVID-19"
"87","RS Umum Al-Arif"," Jl. R.E. Martadinata No.158 B, Baregbeg - Ciamis",9,NA,13,NA,29,NA,"0265777391","32","3207",2021-07-25 22:17:07,"Non COVID-19"
"88","RS Umum Dadi Keluarga Ciamis","Jl. RE. Martadinata Nomor 333-335 Baregbeg, Ciamis",6,"38 jam",17,"38 jam",15,"38 jam","02652750777","32","3207",2021-07-25 22:17:07,"Non COVID-19"
"89","RS Khusus Bedah RSOP Ciamis","Jl. Raya Ciamis Banjar KM 7 No. 341 RT 16 RW 06 Desa Cijeungjing Kec Cijeungjing",5,NA,3,NA,14,NA,"02657600450","32","3207",2021-07-25 22:17:07,"Non COVID-19"
"90","RS Umum Daerah Cimacan","Jl. Raya Cimacan No.17, Cianjur",1,"4 jam",12,"4 jam",18,"4 jam","02632950771","32","3203",2021-07-25 22:17:07,"Non COVID-19"
"91","RS Umum Daerah Cilacap","Jl. Gatot Subroto 28 Cilacap RT 04 / RW O5",22,"22 jam",42,"22 jam",64,"22 jam","0282533010","33","3301",2021-07-25 22:17:08,"Non COVID-19"
"92","RS Umum Islam Fatimah","Jl. Ir.H.Juanda No.20 Cilacap",17,"18 menit",14,"18 menit",12,"18 menit","0282542396","33","3301",2021-07-25 22:17:08,"Non COVID-19"
"93","RS Bersalin Annisa","Jl. Gatot Subroto 31 A Cilacap",4,NA,4,NA,13,NA,"0282533550","33","3301",2021-07-25 22:17:08,"Non COVID-19"
"94","RS Umum Daerah Waled"," Jl. Prabu Kiansantang No. 4 Waled, Cirebon",22,"30 menit",20,"30 menit",107,"30 menit","0231661275","32","3209",2021-07-25 22:17:08,"Non COVID-19"
"95","RS Pertamina Cirebon","Jl. Patra Raya Klayan No 1 Cirebon",1,"14 jam",3,"14 jam",10,NA,"08112433338","32","3209",2021-07-25 22:17:08,"Non COVID-19"
"96","RS Umum Daerah Arjawinangun","Jl. Palimanan - Jakarta KM. 2 No. 1  Arjawinangun",17,"38 jam",27,"38 jam",160,"38 jam","0231358335","32","3209",2021-07-25 22:17:08,"Non COVID-19"
"97","RS Umum Mitra Plumbon","Jl. Raya Plumbon Km.11 Cirebon",23,NA,32,NA,37,NA,"0231323100","32","3209",2021-07-25 22:17:08,"Non COVID-19"
"98","RS Umum Permata Cirebon","Jl. Tuparev No.117 Cirebon",20,NA,53,NA,29,NA,"02318338877","32","3209",2021-07-25 22:17:08,"Non COVID-19"
"99","RS Umum Sumber Waras","Jl. Urip Sumoharjo No.5 Ciwaringin, Kab. Cirebon",31,"1 menit",30,"1 menit",15,"1 menit","0231341079","32","3209",2021-07-25 22:17:08,"Non COVID-19"
"100","RS Jantung Hasna Medika","Jl. Raden Gilap No 8 Palimanan, Kabupaten Cirebon",8,"1 menit",19,"1 menit",15,"1 menit","0231343405","32","3209",2021-07-25 22:17:08,"Non COVID-19"
"101","RS Umum Daerah Sidikalang","Jl Rumah Sakit No 19, Sidikalang",5,"11 jam",14,"11 jam",45,"11 jam","0627000022442","12","1210",2021-07-25 22:17:08,"Non COVID-19"
"102","RS Umum Dearah Deli Serdang","Jl. Thamrin Lubuk Pakam",11,"11 jam",7,"11 jam",36,"11 jam","085297825601","12","1212",2021-07-25 22:17:09,"Non COVID-19"
"103","RS Umum Sembiring Deli Tua","Jl. Besar No.77, Deli Tua",19,"36 jam",17,"36 jam",15,"36 jam","081376490201","12","1212",2021-07-25 22:17:09,"Non COVID-19"
"104","RS Umum Sari Mutiara Lubuk Pakam","Jl Medan No.17,Lubuk Pakam",5,"35 jam",25,"35 jam",45,"35 jam","082165612376 ","12","1212",2021-07-25 22:17:09,"Non COVID-19"
"105","RS Umum Yoshua","Jl. Medan Lubuk Pakam N0. 70",5,"14 jam",5,"13 jam",7,"13 jam","hotline tidak tersedia","12","1212",2021-07-25 22:17:09,"Non COVID-19"
"106","RS Umum Citra Medika","Jl Medan-Bt Kuis No 377 Pasar X Desa Bandar Khalipa ",1,NA,8,NA,14,NA,"hotline tidak tersedia","12","1212",2021-07-25 22:17:09,"Non COVID-19"
"107","RS Umum Pancur Batu","Jl. Jamin Ginting KM. 17 Desa Tengah Kec. Pancur Batu",4,NA,11,NA,9,NA,"081376257161","12","1212",2021-07-25 22:17:09,"Non COVID-19"
"108","RS Grandmed ","Jl Medan km. 25 no. 66 Lubuk Pakam",20,"10 jam",4,"10 jam",6,"10 jam","085358431190","12","1212",2021-07-25 22:17:09,"Non COVID-19"
"109","RS Umum Haji Medan","Jl RS Haji Medan Estate",12,"15 jam",3,"15 jam",30,"15 jam","0616619520","12","1212",2021-07-25 22:17:09,"Non COVID-19"
"110","RS Umum Daerah Sunan Kalijaga"," Jl. Sultan Fatah No. 669/50,Demak",18,NA,4,NA,12,NA,"0291685018","33","3321",2021-07-25 22:17:09,"Non COVID-19"
"111","RS Umum Islam NU Demak","Jl. Jogoloyo No.9, Kec. Wonosalam, Demak",9,"38 jam",10,"38 jam",8,"38 jam","02916904000","33","3321",2021-07-25 22:17:09,"Non COVID-19"
"112","RS Umum Pelita Anugerah","Jl. Raya Bandung Rejo Km 11,5, Mranggen Demak",12,NA,23,NA,5,NA,"0246725555","33","3321",2021-07-25 22:17:09,"Non COVID-19"
"113","RS Umum Daerah Sultan Fatah Karangawen Demak","Jl. Raya Semarang Purwodadi KM. 21 No. 107 Karangawen Demak",2,NA,11,NA,27,NA,"02476602154","33","3321",2021-07-25 22:17:09,"Non COVID-19"
"114","RS Hj. Fatimah Sulhan PKU Muhammadiyah Demak","Jl. Sultan Hadiwijaya No. 18 Mangunjiwan",11,NA,18,NA,NA,NA,"hotline tidak tersedia","33","3321",2021-07-25 22:17:09,"Non COVID-19"
"115","RS Pratama Manggelewa","Jl. Lintas Calabai Desa Doromelo Kecamatan Manggelewa Kabupaten Dompu",NA,NA,NA,NA,30,"16 jam","hotline tidak tersedia","52","5205",2021-07-25 22:17:10,"Non COVID-19"
"116","RS Umum Daerah Kabelota","  Jl. Trans Palu - Donggala Kabonga Besar",2,NA,3,NA,66,"36 jam","082292436055","72","7205",2021-07-25 22:17:10,"Non COVID-19"
"117","RS Umum Daerah Pendau Tambu Kab Donggala","Jl. Mapane Tambu. Kec. Baselang",16,"43 jam",25,"43 jam",16,"43 jam","085341298597","72","7205",2021-07-25 22:17:10,"Non COVID-19"
"118","RS Umum Daerah Fakfak","Jl. Jend Sudirman Fak Fak",9,"21 jam",8,"21 jam",42,"21 jam","082199455159","91","9101",2021-07-25 22:17:11,"Non COVID-19"
"119","RS Umum Annisa Queen","Jln. Jenderal Sudirman No 208 Desa Suci Kaler Kecamatan Karangpawitan Kab. Garut",3,NA,1,NA,4,NA,"02624892700","32","3205",2021-07-25 22:17:11,"Non COVID-19"
"120","RS Medina","Jl. Raya Wanaraja No. 500 RT. 004 RW. 008 Desa Cinunuk Kec. Wanaraja",0,NA,0,NA,7,NA,"hotline tidak tersedia","32","3205",2021-07-25 22:17:11,"Non COVID-19"
"121","RS Umum Muhammad Ali Kasim","Jl.Pangur-Sangir, Kec Dabun Gelang",22,NA,NA,NA,55,NA,"081360082884","11","1113",2021-07-25 22:17:11,"Non COVID-19"
"122","RS Umum Daerah Sanjiwani Gianyar","    Jl. Ciung Wenara No.2 Gianyar",1,NA,14,"14 jam",25,NA,"0361943524","51","5104",2021-07-25 22:17:11,"Non COVID-19"
"123","RS Umum Premagana","Jl. Hyang Sangsi No.2 Komp.Perumahan Chandra Ayu Br. Tubuh,Batubulan,Sukawati - Gianyar",2,"14 jam",0,"14 jam",7,"14 jam","0361296389","51","5104",2021-07-25 22:17:11,"Non COVID-19"
"124","RS Umum Famili Husada","Jl. Astina Timur No. 8A Samplangan, Kecamatan Gianyar, Kabupaten Gianyar",1,NA,0,NA,0,NA,"03618493344","51","5104",2021-07-25 22:17:11,"Non COVID-19"
"125","RS Umum Kasih Ibu Saba","Jl. Raya Pantai Saba No. 9, Saba, Blahbatuh, Gianyar (80581)",5,"37 jam",6,"37 jam",13,"37 jam","03613003333","51","5104",2021-07-25 22:17:11,"Non COVID-19"
"126","RS Umum Payangan","Jl. Giri Kesuma BR. Melinggih Payangan Gianyar 80572",NA,NA,5,NA,9,NA,"03619088087","51","5104",2021-07-25 22:17:11,"Non COVID-19"
"127","RS Umum Yapika","Jl. Abdul Kadir Dg. Suro No.140 Kel. Samata Kec. Somba Opu",NA,NA,39,NA,NA,NA,"hotline tidak tersedia","73","7306",2021-07-25 22:17:12,"Non COVID-19"
"128","RS Umum Daerah Ibnu Sina Kab. Gresik","Jl. Dr. Wahidin Sudirohusodo No. 243B Gresik",18,"1 jam",30,"1 jam",43,"1 jam","0313951239","35","3525",2021-07-25 22:17:12,"Non COVID-19"
"129","RS Semen Gresik","Jl. R A Kartini No. 280 Kel. Tlogopatut Kec. Gresik, Kab. Gresik",22,"10 jam",15,"10 jam",31,"10 jam","0313987840","35","3525",2021-07-25 22:17:12,"Non COVID-19"
"130","RS Petrokimia Gresik","Jl. Jend. A. Yani No. 69 Kel. Ngipik, Kec. Ngipik, Kab. Gresik",1,NA,1,NA,8,NA,"0313978658","35","3525",2021-07-25 22:17:12,"Non COVID-19"
"131","RS Muhammadiyah Gresik","Jl. KH. Kholil 88, Kel. Kemuteran, Kec. Gresik",0,NA,0,NA,0,NA,"0313981275","35","3525",2021-07-25 22:17:12,"Non COVID-19"
