"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"27","RS Umum Daerah Kabupaten Bangli"," Jl. Brigjen Ngurah Rai No. 99X Bangli",12,"13 jam",14,NA,29,NA,"036691521","51","5106",2021-07-21 20:23:41,"Non COVID-19"
"28","RS Jiwa Provinsi Bali","Jl.Kusuma Yudha No. 29 Bangli",2,NA,22,NA,109,NA,"036691073","51","5106",2021-07-21 20:23:41,"Non COVID-19"
"29","RS Umum Daerah Ratu Zalecha","Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan",32,NA,50,NA,56,NA,"05114789455","63","6303",2021-07-21 20:23:41,"Non COVID-19"
"30","RS Umum Emmanuel","Jl. Raya Purwareja Klampok - Banjarnegara",15,NA,15,NA,54,NA,"(0286) 479030","33","3304",2021-07-21 20:23:41,"Non COVID-19"
"31","RS Umum Islam Banjarnegara","Jl Raya Bawang KM 9 Banjarnegara",9,"8 menit",7,"8 menit",30,"8 menit","02865988848","33","3304",2021-07-21 20:23:41,"Non COVID-19"
"32","RS Umum Daerah Prof. Dr. H. Anwar Makkatutu","Jl. Teratai No. 20 Kel. Pallantikang, Kec. Bantaeng",6,NA,14,NA,16,NA,"hotline tidak tersedia","73","7303",2021-07-21 20:23:41,"Non COVID-19"
"33","RS Umum Daerah Panembahan Senopati","Jl Dr. Wahidin Sudiro Husodo Bantul",3,NA,11,NA,73,NA,"hotline tidak tersedia","34","3402",2021-07-21 20:23:42,"Non COVID-19"
"34","RS Umum Santa Elisabeth","Ganjuran Sumbermulyo Bambanglipuro",2,NA,6,NA,NA,NA,"02746460400","34","3402",2021-07-21 20:23:42,"Non COVID-19"
"35","RS Ibu Anak Ummi Khasanah","Jl Pemuda Ds Gandekan Bantul",0,"23 menit",0,"23 menit",7,"23 menit","0274367638","34","3402",2021-07-21 20:23:42,"Non COVID-19"
"36","RS Umum Nur Hidayah","Jl Imogiri Timur Km. 11,5 Trimulyo Jetis Bantul",1,"1 jam",8,"21 menit",26,"21 menit","085100472941","34","3402",2021-07-21 20:23:42,"Non COVID-19"
"37","RS Umum Griya Mahardika Yogyakarta","jl. Parangtritis KM 4.5 gang Wijayakusuma No 212 Yogyakarta",10,"2 jam",4,"2 jam",0,"2 jam","0274445024","34","3402",2021-07-21 20:23:42,"Non COVID-19"
"38","RSPAU Dr.  Suhardi Harjolukito","         Jl. Raya Janti Blok O Yogyakarta",49,"11 jam",NA,NA,NA,NA,"0274444702","34","3402",2021-07-21 20:23:42,"Non COVID-19"
"39","RS Bunda Medika Jakabaring","Jl. Gubernur H.A. Bastari Jakabaring Desa Sungai Kedukan Kecamatan Rambutan",11,NA,16,NA,32,NA,"085384532735","16","1607",2021-07-21 20:23:42,"Non COVID-19"
"40","RS Umum Santa Elisabeth Purwokerto","Jl. dr. Angka No. 40 Purwokerto",0,"10 jam",NA,NA,NA,NA,"0281625857","33","3302",2021-07-21 20:23:42,"Non COVID-19"
"41","RS Khusus Bedah Jatiwinangun"," Jl. Jatiwinangun No.54, Purwokerto",2,NA,4,NA,13,NA,"0281632632","33","3302",2021-07-21 20:23:42,"Non COVID-19"
"42","RS Umum Islam Purwokerto","Jl. H. Masyuri Rejasari No 39 Purwokerto",9,"16 jam",3,"16 jam",13,"16 jam","0281630019","33","3302",2021-07-21 20:23:42,"Non COVID-19"
"43","RS Umum Daerah Ajibarang","    Jl. Raya Pancasan No.1,Ajibarang Banyumas",10,"12 jam",19,"12 jam",35,"12 jam","02816570004","33","3302",2021-07-21 20:23:42,"Non COVID-19"
"44","RS Umum Bhakti Husada","Jl. Krikilan-Glenmore Dusun Krajan, Tegalharjo",2,NA,0,"11 jam",4,NA,"0333821118","35","3510",2021-07-21 20:23:42,"Non COVID-19"
"45","RS Islam Fatimah","Jl. Jember nomor 25, Kelurahan Kalirejo, Kab. Banyuwangi",4,"11 jam",17,"11 jam",28,NA,"0333421451","35","3510",2021-07-21 20:23:42,"Non COVID-19"
"46","RS Yasmin","Jl. Letkol Istiqlah Nomor 80-84 Banyuwangi",5,"12 jam",4,"12 jam",13,"12 jam","0333424671","35","3510",2021-07-21 20:23:42,"Non COVID-19"
"47","RS Nahdlatul Ulama Banyuwangi","Jl. Raya Mangir No. 9, Kec. Rogojampi, Banyuwangi",NA,NA,6,"32 jam",14,"32 jam","0333632965","35","3510",2021-07-21 20:23:42,"Non COVID-19"
"48","RS Umum PKU Muhammadiyah Rogojampi","Jalan Diponegoro Nomor 20 Rogojampi, Kab. Banyuwangi",10,NA,13,NA,30,NA,"0333631149","35","3510",2021-07-21 20:23:42,"Non COVID-19"
"49","RS Graha Medika","Jl. Raya Yosomulyo, Gambiran, Banyuwangi",2,"18 jam",5,"18 jam",2,"18 jam","0333848999","35","3510",2021-07-21 20:23:42,"Non COVID-19"
"50","RS Ibu dan Anak Rahayu Medika","Jl. Pekulo-Sukomukti No.09, Kebaman, Srono, Banyuwangi",NA,NA,5,NA,24,NA,"0333911542","35","3510",2021-07-21 20:23:42,"Non COVID-19"
"51","RS Umum Daerah Jaraga Sasameh","Jl. Patianom Nomor 6 Buntok Kode Pos.737112 Kalimantan Tengah Telepon (0525) 21261 Faksimile (0525) ",7,"9 jam",22,"9 jam",20,"9 jam","081250479890","62","6204",2021-07-21 20:23:42,"Non COVID-19"
"52","RS Umum Batara Siang","  Jl. Sultan Hasanudin 7 Pangkajene",58,"13 jam",19,"13 jam",30,"13 jam","0811415118","73","7310",2021-07-21 20:23:43,"Non COVID-19"
"53","RS Umum Qim","Jl. Urip Sumoharjo, Sambong",3,NA,4,NA,9,NA,"02854495222","33","3325",2021-07-21 20:23:43,"Non COVID-19"
"54","RS Umum Daerah Limpung","Jl. Dr. Soetomo No. 17A Limpung 51271",4,NA,NA,NA,NA,NA,"02854468362","33","3325",2021-07-21 20:23:43,"Non COVID-19"
"55","RS Umum Annisa","Jl. Cikarang Baru No.31 Cikarang Utara Bekasi",58,"10 jam",13,"10 jam",23,"10 jam","081219792097","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"56","Siloam Hospitals Lippo Cikarang","Jl. MH Thamrin Kav.105 Bekasi",16,"13 jam",18,"13 jam",17,"13 jam","02129636911","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"57","RS Umum Kartika Husada","Jl. Raya Mangunjaya No.07 Kp.Rukem,Tambun - Bekasi",1,NA,1,NA,16,"12 jam","081318273414","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"58","RS Amanda Cikarang Selatan","Jl. Raya Serang No. 83 Desa Sukadami Cikarang Selatan Kab. Bekasi",NA,NA,NA,NA,NA,NA,"0218971643","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"59","RS Umum Dokter Adam Talib","JL. TEUKU UMAR NO. 25 CIKARANG BARAT",45,"35 jam",NA,NA,22,"35 jam","082112767778","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"60","RS Umum Cibitung Medika","Jl. H. Bosih No.117 Cibitung Kabupaten Bekasi",7,"15 jam",21,"15 jam",25,"15 jam","02188323444","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"61","RS Mitra Medika Narom","Jl. Desa Jatiwangi Cikedokan Kp. Kamurang",6,"12 jam",7,"12 jam",41,"12 jam","02189983741","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"62","RS Uni Medika Setu Bekasi","Jl. Raya setu No.99 Desa Lubang Buaya Kec. Setu",3,NA,6,NA,17,NA,"085891000553","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"63","RS Umum Kartika Husada Setu","Jl. Raya Burangkeng Desa Burangkeng Rt. 001 Rw.06 Kec. Setu",13,NA,5,NA,29,NA,"02182610003","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"64","RS Umum Tiara","Jl. Raya Babelan No. 73 Desa Kebalen Kec. Babelan Kab. Bekasi",2,NA,1,NA,1,NA,"081388871708","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"65","RS Umum Pinna","Jl. Karang Satria No. 4-5 Bekasi",1,NA,18,NA,11,NA,"0218827554","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"66","RS Ananda Babelan","Jl. Raya Babelan KM. 9.6 RT/RW 002/001 Kelurahan Kebalen Kecamatan Babelan",18,NA,16,NA,6,NA,"082114950240","32","3216",2021-07-21 20:23:44,"Non COVID-19"
"67","RS Umum Daerah  Kab.Belitung Timur","Jl. Raya Manggar Gantung Desa Padang Kecamatan Manggar",10,"12 jam",20,"12 jam",38,"12 jam","081949244641","19","1906",2021-07-21 20:23:44,"Non COVID-19"
"68","RS Katholik Marianum Halilulik"," Jl. Paroki Roh Kudus, Halilulik Kab.Belu",1,"12 jam",7,"12 jam",27,"12 jam","hotline tidak tersedia","53","5306",2021-07-21 20:23:44,"Non COVID-19"
"69","RS Sito Husada","Jl. KH.Dewantara No.15,Atambua Belu",8,NA,10,NA,28,NA,"hotline tidak tersedia","53","5306",2021-07-21 20:23:44,"Non COVID-19"
"70","RS Umum Daerah  Bengkalis","Jl Kelapapati Tengah No.90, Bengkalis",23,"4 menit",13,"4 menit",19,"4 menit","07667008400","14","1408",2021-07-21 20:23:44,"Non COVID-19"
"71","RS Umum  Permata Hati","Jl Jend. Sudirman No. 37",1,"14 jam",5,NA,18,NA,"081261823811","14","1408",2021-07-21 20:23:44,"Non COVID-19"
"72","RS Hana Charitas Arga Makmur","Jl. Ir. Soekarno No.12 Rama Agung Arga Makmur, Bengkulu Utara",11,NA,12,NA,21,NA,"0737522300","17","1703",2021-07-21 20:23:45,"Non COVID-19"
"73","RS Umum  Aulia Blitar","Jl. Raya Utara No. 3 Kembangarum, Sutojayan, Kab. Blitar",3,NA,15,NA,15,NA,"0342444168","35","3505",2021-07-21 20:23:45,"Non COVID-19"
"74","RS Umum Daerah Srengat Kab. Blitar","Jl. Raya Dandong RT. 02/RW. 03 Kec. Srengat",5,"36 jam",11,"36 jam",41,"36 jam","03425651555","35","3505",2021-07-21 20:23:45,"Non COVID-19"
"75","RS Umum An-Nisaa","Jl. Suparyono Timur No. 1, Bajang Talun Blitar",5,NA,5,NA,4,NA,"0342692999","35","3505",2021-07-21 20:23:45,"Non COVID-19"
"76","RS Umum Bantuan Blora","Jl. Dr. Sutomo No.45, Blora",2,NA,10,"14 jam",22,"14 jam","0296531041","33","3316",2021-07-21 20:23:46,"Non COVID-19"
"77","RS Paru Dr. M. Goenawan Partowidigdo","Jl. Raya Puncak KM.83, Po Box 28 Cisarua Bogor 16750",NA,NA,NA,NA,4,"5 menit","02518253630","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"78","RS Umum Daerah Ciawi","Jl. Raya Puncak 479 Ciawi Bogor",18,"1 menit",19,"1 menit",27,"1 menit","082119041792","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"79","RS Umum Daerah Leuwiliang","Jl. Raya Cibeber - Leuwiliang Bogor",36,"2 menit",32,"2 menit",50,"2 menit","0251 8643490","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"80","RS Umum Annisa","JL. Raya Karanggan No. 02 Puspasari, Citeureup Bogor",2,NA,14,NA,8,NA,"02183710769","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"81","RS Umum Bina Husada","Jl. Mayor Oking Jaya Atmaja KM1 No.101 Cibinong - Bogor",13,NA,10,NA,NA,NA,"02187911000","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"82","RS Umum Daerah Cileungsi"," Jl. Raya Cileungsi-Jonggol Km.10 Cileungsi Kab. Bogor",2,"23 menit",4,"23 menit",3,"23 menit","02189934668","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"83","RS Umum Karya Bhakti Pratiwi","Jl. Raya Dramaga KM. 7 Bogor",9,"4 menit",32,"4 menit",25,"4 menit","02518626666","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"84","RS EMC Sentul","Jl. MH. Thamrin Kav. 57 Sentul City, Bogor 16810",4,"11 jam",3,"11 jam",0,"11 jam","087700141777","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"85","RS Umum Dr. Muhamad Hassan Toto","Jl. Sardjio No. 1, Semplak Kec. Kemang",3,"13 jam",8,"13 jam",10,"13 jam","02517535976","32","3201",2021-07-21 20:23:46,"Non COVID-19"
"86","RS Umum Daerah Dr. R. Sosodoro Djatikoesoemo"," Jl. Veteran No 36, Bojonegoro",32,"12 jam",23,"12 jam",73,"12 jam","08113224972","35","3522",2021-07-21 20:23:46,"Non COVID-19"
"87","RS Umum Aisyiyah Bojonegoro","Jl. Hasyim Asyari 17 Bojonegoro",14,NA,15,NA,37,NA,"0353881748","35","3522",2021-07-21 20:23:46,"Non COVID-19"
"88","RS Umum Daerah Sumberrejo","Jl. Raya No. 231 Sumberrejo, Bojonegoro",NA,NA,NA,NA,36,"9 jam","0353331530","35","3522",2021-07-21 20:23:46,"Non COVID-19"
"89","RS umum Daerah Padangan","Jl. Dr. Soetomo No. 2 Padangan, Bojonegoro",8,"10 jam",16,"10 jam",31,"10 jam","081230362648)","35","3522",2021-07-21 20:23:46,"Non COVID-19"
"90","RS Bhayangkara Wahyu Tutuko Bojonegoro ","Jl. Panglima Sudirman No 168-169",NA,NA,NA,NA,NA,NA,"081216771588","35","3522",2021-07-21 20:23:46,"Non COVID-19"
"91","RS Umum Ibnu Sina Bojonegoro","Jl. Lisman No.7 Campurejo",20,NA,3,NA,9,NA,"0353883238","35","3522",2021-07-21 20:23:46,"Non COVID-19"
"92","RS Umum Daerah Tombulilato","  Ds.Inomata jln.Trans Sulawesi Pantai selatan Km. 70",1,"8 jam",0,"8 jam",30,"8 jam","085394107787","75","7504",2021-07-21 20:23:47,"Non COVID-19"
"93","RS Umum  Karanggede Sisma Medika","Jl. Raya Karanggede - Solo KM.1, Boyolali",10,NA,8,NA,29,NA,"0298610600","33","3309",2021-07-21 20:23:47,"Non COVID-19"
"94","RS Umum Daerah Simo","    Jl. Kebon Ijo Ds.Simo Kec.Simo, Boyolali",8,"24 menit",20,"24 menit",32,"24 menit","02763294719","33","3309",2021-07-21 20:23:47,"Non COVID-19"
"95","RS Umum Hidayah Boyolali","Kragilan, Mojosongo, Boyolali",16,"2 jam",17,"2 jam",27,"2 jam","0276324614","33","3309",2021-07-21 20:23:47,"Non COVID-19"
"96","RS Umum Daerah Brebes","Jl. Jend.Sudirman No.181, Brebes",15,"11 jam",12,"11 jam",52,"11 jam","0283-671431","33","3329",2021-07-21 20:23:48,"Non COVID-19"
"97","RS Umum Daerah Kab. Buleleng","     Jl. Ngurah Rai 30 Singaraja",4,"13 jam",13,"13 jam",29,"13 jam","036222046","51","5108",2021-07-21 20:23:48,"Non COVID-19"
"98","RS Umum Daerah Tangguwisia","Jl. Singaraja-Seriri, Desa Tangguwisia, Kecamatan Seririt, Kabupaten Buleleng, Provinsi Bali",1,NA,2,NA,21,NA,"03623361387","51","5108",2021-07-21 20:23:48,"Non COVID-19"
"99","RS Giri Emas","Jl. Raya Sangsit, Desa Giri Emas Kecamatan Sawan Kabupaten Buleleng",NA,NA,NA,NA,45,"12 jam","03623303884","51","5108",2021-07-21 20:23:48,"Non COVID-19"
"100","RS Umum Daerah H. Hanafie","Jl. Teuku Umar 88  Muara Bungo",9,"9 jam",13,"9 jam",NA,NA,"085378607477","15","1509",2021-07-21 20:23:48,"Non COVID-19"
"101","RS Umum Permata Hati","Jl.Lebai Hasan, Rt 06/02, Sungai Pinang, Muara Bungo",4,NA,14,NA,NA,NA,"08117444118","15","1509",2021-07-21 20:23:48,"Non COVID-19"
"102","RS Jabal Rahmah Medika","Jl. RM Thaher RT. 015 RW. 005 Kel. Cadika Kec. Rimbo Tengah",1,"10 jam",1,"10 jam",21,"10 jam","082180320002","15","1509",2021-07-21 20:23:48,"Non COVID-19"
"103","RS Umum Daerah Kabupaten Buton Selatan"," JL GAJAH MADA Kel. Laompo Kec. Batauga Kab. Buton Selatan Telp/Fax.(0402)",NA,NA,1,"11 jam",20,"11 jam","085340425378","74","7415",2021-07-21 20:23:49,"Non COVID-19"
"104","RS Umum Permata Bunda","Jl. Mr. Iwa Kusumasomantri No.1 Ciamis",5,NA,6,NA,12,NA,"0265771650","32","3207",2021-07-21 20:23:50,"Non COVID-19"
"105","RS Umum Al-Arif"," Jl. R.E. Martadinata No.158 B, Baregbeg - Ciamis",10,NA,14,NA,19,NA,"0265777391","32","3207",2021-07-21 20:23:50,"Non COVID-19"
"106","RS Umum Dadi Keluarga Ciamis","Jl. RE. Martadinata Nomor 333-335 Baregbeg, Ciamis",9,"13 jam",18,"13 jam",23,"13 jam","02652750777","32","3207",2021-07-21 20:23:50,"Non COVID-19"
"107","RS Khusus Bedah RSOP Ciamis","Jl. Raya Ciamis Banjar KM 7 No. 341 RT 16 RW 06 Desa Cijeungjing Kec Cijeungjing",5,NA,4,NA,14,NA,"02657600450","32","3207",2021-07-21 20:23:50,"Non COVID-19"
"108","RS Umum Daerah Cimacan","Jl. Raya Cimacan No.17, Cianjur",2,"5 jam",7,"5 jam",20,"5 jam","02632950771","32","3203",2021-07-21 20:23:50,"Non COVID-19"
"109","RS Umum Daerah Cilacap","Jl. Gatot Subroto 28 Cilacap RT 04 / RW O5",19,"20 jam",43,"20 jam",64,"20 jam","0282533010","33","3301",2021-07-21 20:23:50,"Non COVID-19"
"110","RS Umum Islam Fatimah","Jl. Ir.H.Juanda No.20 Cilacap",13,"24 menit",18,"24 menit",10,"24 menit","0282542396","33","3301",2021-07-21 20:23:50,"Non COVID-19"
"111","RS Umum Daerah Waled"," Jl. Prabu Kiansantang No. 4 Waled, Cirebon",21,"38 menit",23,"38 menit",112,"38 menit","0231661275","32","3209",2021-07-21 20:23:51,"Non COVID-19"
"112","RS Pertamina Cirebon","Jl. Patra Raya Klayan No 1 Cirebon",2,"13 jam",4,"13 jam",9,NA,"08112433338","32","3209",2021-07-21 20:23:51,"Non COVID-19"
"113","RS Umum Daerah Arjawinangun","Jl. Palimanan - Jakarta KM. 2 No. 1  Arjawinangun",15,"12 jam",28,"12 jam",162,"12 jam","0231358335","32","3209",2021-07-21 20:23:51,"Non COVID-19"
"114","RS Umum Mitra Plumbon","Jl. Raya Plumbon Km.11 Cirebon",25,NA,23,NA,39,NA,"0231323100","32","3209",2021-07-21 20:23:51,"Non COVID-19"
"115","RS Umum Permata Cirebon","Jl. Tuparev No.117 Cirebon",23,NA,58,NA,40,NA,"02318338877","32","3209",2021-07-21 20:23:51,"Non COVID-19"
"116","RS Umum Sumber Waras","Jl. Urip Sumoharjo No.5 Ciwaringin, Kab. Cirebon",15,"2 menit",16,"2 menit",6,"2 menit","0231341079","32","3209",2021-07-21 20:23:51,"Non COVID-19"
"117","RS Jantung Hasna Medika","Jl. Raden Gilap No 8 Palimanan, Kabupaten Cirebon",7,"2 menit",22,"1 menit",14,"1 menit","0231343405","32","3209",2021-07-21 20:23:51,"Non COVID-19"
"118","RS Umum Daerah Sidikalang","Jl Rumah Sakit No 19, Sidikalang",5,"34 jam",17,"34 jam",48,"34 jam","0627000022442","12","1210",2021-07-21 20:23:51,"Non COVID-19"
"119","RS Umum Dearah Deli Serdang","Jl. Thamrin Lubuk Pakam",9,"11 jam",11,"11 jam",34,"11 jam","085297825601","12","1212",2021-07-21 20:23:53,"Non COVID-19"
"120","RS Umum Sembiring Deli Tua","Jl. Besar No.77, Deli Tua",13,"11 jam",25,"11 jam",24,"11 jam","081376490201","12","1212",2021-07-21 20:23:53,"Non COVID-19"
"121","RS Umum Sari Mutiara Lubuk Pakam","Jl Medan No.17,Lubuk Pakam",4,"10 jam",26,"10 jam",39,"10 jam","082165612376 ","12","1212",2021-07-21 20:23:53,"Non COVID-19"
"122","RS Umum Yoshua","Jl. Medan Lubuk Pakam N0. 70",5,"13 jam",5,"13 jam",8,"13 jam","hotline tidak tersedia","12","1212",2021-07-21 20:23:53,"Non COVID-19"
"123","RS Grandmed ","Jl Medan km. 25 no. 66 Lubuk Pakam",7,"17 jam",13,"17 jam",20,"17 jam","085358431190","12","1212",2021-07-21 20:23:53,"Non COVID-19"
"124","RS Umum Haji Medan","Jl RS Haji Medan Estate",10,"13 jam",2,"13 jam",29,"13 jam","0616619520","12","1212",2021-07-21 20:23:53,"Non COVID-19"
"125","RS Umum Daerah Sunan Kalijaga"," Jl. Sultan Fatah No. 669/50,Demak",21,NA,2,NA,3,NA,"0291685018","33","3321",2021-07-21 20:23:54,"Non COVID-19"
"126","RS Umum Islam NU Demak","Jl. Jogoloyo No.9, Kec. Wonosalam, Demak",9,"12 jam",11,"12 jam",13,"12 jam","02916904000","33","3321",2021-07-21 20:23:54,"Non COVID-19"
"127","RS Umum Pelita Anugerah","Jl. Raya Bandung Rejo Km 11,5, Mranggen Demak",11,NA,29,NA,13,NA,"0246725555","33","3321",2021-07-21 20:23:54,"Non COVID-19"
"128","RS Umum Daerah Sultan Fatah Karangawen Demak","Jl. Raya Semarang Purwodadi KM. 21 No. 107 Karangawen Demak",2,NA,17,NA,30,NA,"02476602154","33","3321",2021-07-21 20:23:54,"Non COVID-19"
"129","RS Pratama Manggelewa","Jl. Lintas Calabai Desa Doromelo Kecamatan Manggelewa Kabupaten Dompu",NA,NA,NA,NA,30,"39 jam","hotline tidak tersedia","52","5205",2021-07-21 20:23:54,"Non COVID-19"
"130","RS Umum Daerah Kabelota","  Jl. Trans Palu - Donggala Kabonga Besar",2,NA,3,NA,39,NA,"082292436055","72","7205",2021-07-21 20:23:55,"Non COVID-19"
"131","RS Umum Daerah Kabupaten Empat Lawang"," Jl. Noerdin Pandji Km 5 Kel. Tanjung Kupang Kec. Tebing Tinggi Kab.empat Lawang",11,NA,16,NA,28,NA,"07027321500","16","1611",2021-07-21 20:23:55,"Non COVID-19"
"132","RS Umum Daerah Massenrempulu Enrekang"," Jl. Jend Sudirman Keppe Enrekang",19,"8 jam",17,"8 jam",38,"8 jam","085342549131","73","7316",2021-07-21 20:23:56,"Non COVID-19"
